date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-25 18:43:05.302153,54,52.216.237.107,80,1.0,212343366,1,1,,1,ack
2018-10-25 18:43:07.525036,95,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:07.543194,54,52.46.132.49,443,1.0,212470485,1,1,,1,ack
2018-10-25 18:43:13.011237,278,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.054611,1100,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.056952,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.057349,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.058728,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.078427,891,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.095953,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.105319,1031,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.107532,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.107565,1514,52.46.132.49,443,1.0,5564,1,1,,1,not_relevant
2018-10-25 18:43:13.127130,1514,52.46.132.49,443,1.0,19,1,1,,1,not_relevant
2018-10-25 18:43:13.127494,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.139253,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.140635,1376,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.168976,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.208946,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.253504,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.308264,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.376770,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.397556,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.467505,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.499900,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.562578,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.606493,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.653271,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.698087,54,52.216.109.123,80,1.0,212420235,1,1,,1,ack
2018-10-25 18:43:13.707637,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.770663,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.807100,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.866673,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.899046,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:13.970377,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.011993,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.053098,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.102255,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.167728,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.199068,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.264014,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.294314,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.360684,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.406687,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.459143,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.503230,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.569630,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.600596,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.666489,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.699354,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.764988,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.814023,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.848499,54,52.46.132.49,443,1.0,1721,1,1,,1,ack
2018-10-25 18:43:14.852720,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.901587,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.970459,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:14.998329,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.064193,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.097201,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.172494,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.173676,54,52.46.132.49,443,1.0,325,1,1,,1,ack
2018-10-25 18:43:15.217727,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.299845,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.304962,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.396442,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.451749,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.451888,54,52.46.132.49,443,1.0,278,1,1,,1,ack
2018-10-25 18:43:15.469318,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.527484,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.562814,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.612955,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.686266,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.710122,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.797328,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.879511,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.880808,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.888991,54,52.46.132.49,443,1.0,437,1,1,,1,ack
2018-10-25 18:43:15.889449,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 18:43:15.890576,54,52.46.132.49,443,1.0,1,1,1,,1,ack
2018-10-25 18:43:15.896112,54,52.46.132.49,443,1.0,5,1,1,,1,ack
2018-10-25 18:43:15.899390,54,52.46.132.49,443,1.0,3,1,1,,1,ack
2018-10-25 18:43:15.899540,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 18:43:15.905939,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.927193,54,52.46.132.49,443,1.0,27,1,1,,1,ack
2018-10-25 18:43:15.928402,54,52.46.132.49,443,1.0,1,1,1,,1,ack
2018-10-25 18:43:15.929435,54,52.46.132.49,443,1.0,1,1,1,,1,ack
2018-10-25 18:43:15.945924,54,52.46.132.49,443,1.0,16,1,1,,1,ack
2018-10-25 18:43:15.951385,54,52.46.132.49,443,1.0,5,1,1,,1,ack
2018-10-25 18:43:15.973542,99,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:15.974803,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:16.030714,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:16.059987,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:16.087946,91,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:16.101368,91,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:16.165447,303,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:16.578694,54,52.46.132.49,443,1.0,627,1,1,,1,ack
2018-10-25 18:43:16.578840,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 18:43:19.124981,176,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:20.044581,54,52.216.237.107,80,1.0,14742,1,1,,1,ack
2018-10-25 18:43:34.024232,66,104.154.127.140,443,1.0,212473857,1,1,,1,ack
2018-10-25 18:43:45.465323,286,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:45.629713,1127,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:45.631200,231,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:43:45.634757,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
