date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-25 19:02:22.128774,95,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:22.154378,54,52.46.132.49,443,1.0,292226893,1,1,,1,ack
2018-10-25 19:02:27.759995,288,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.765520,955,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.781961,1031,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.783630,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.785711,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.788224,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.792624,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.799520,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.803138,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.803654,1365,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.804461,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.810416,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.810713,342,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.821120,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.821723,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.822371,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.823886,1355,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.829100,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.830607,1216,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.840446,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.840641,342,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.858186,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.905858,54,52.46.132.49,443,1.0,5751,1,1,,1,ack
2018-10-25 19:02:27.907145,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:27.966157,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.025411,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.059681,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.124559,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.144051,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.209326,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.254276,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.307649,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.349694,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.425335,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.451476,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.512666,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.541764,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.614778,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.674860,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.725549,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.750037,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.821969,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.846221,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.908839,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:28.942106,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.011560,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.059939,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.106872,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.154300,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.217870,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.253038,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.385473,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.385716,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.393680,491,52.46.132.49,443,1.0,1487,1,1,,1,not_relevant
2018-10-25 19:02:29.518088,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.518443,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.518474,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.552814,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.626758,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.646652,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.719609,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.787882,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.826328,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.863482,54,52.46.132.49,443,1.0,469,1,1,,1,ack
2018-10-25 19:02:29.891029,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.959911,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:29.961318,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.019246,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.050508,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.128675,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.145862,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.211683,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.254824,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.304161,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.352390,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.400120,54,52.46.132.49,443,1.0,536,1,1,,1,ack
2018-10-25 19:02:30.414637,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.452245,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.509794,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.544111,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.614925,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.671337,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.705138,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.762417,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.828370,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.855868,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.921889,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:30.946827,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.013524,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.072496,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.106897,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.141200,54,52.46.132.49,443,1.0,741,1,1,,1,ack
2018-10-25 19:02:31.146949,54,52.46.132.49,443,1.0,5,1,1,,1,ack
2018-10-25 19:02:31.147088,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:02:31.158343,54,52.46.132.49,443,1.0,11,1,1,,1,ack
2018-10-25 19:02:31.158442,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:02:31.159699,54,52.46.132.49,443,1.0,1,1,1,,1,ack
2018-10-25 19:02:31.160473,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:02:31.206798,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.206932,99,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.217850,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.266217,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.284447,91,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.284526,91,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.312826,304,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:31.887752,54,52.46.132.49,443,1.0,727,1,1,,1,ack
2018-10-25 19:02:33.778290,175,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:02:43.198314,77,104.154.127.141,4070,2.0,0,1,1,,1,syn
2018-10-25 19:02:43.218988,66,104.154.127.141,4070,1.0,292240990,1,1,,1,ack
2018-10-25 19:03:03.809045,95,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:03.877644,54,52.46.132.49,443,1.0,31989,1,1,,1,ack
2018-10-25 19:03:08.502331,66,104.154.127.141,4070,1.0,25283,1,1,,1,ack
2018-10-25 19:03:14.110926,77,104.154.127.141,4070,2.0,0,1,1,,1,syn
2018-10-25 19:03:14.129895,66,104.154.127.141,4070,1.0,5627,1,1,,1,ack
2018-10-25 19:03:14.952557,780,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:14.953764,264,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:14.990384,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:14.991710,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:14.996751,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.012265,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.021912,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.029377,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.037356,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.038723,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.044660,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.046991,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.048410,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.056221,928,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.064736,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.069152,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.070500,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.073917,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.074180,779,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.097737,1514,52.46.132.49,443,1.0,11220,1,1,,1,not_relevant
2018-10-25 19:03:15.099211,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.099226,948,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.104320,54,52.46.132.49,443,1.0,6,1,1,,1,ack
2018-10-25 19:03:15.144086,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.185608,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.230890,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.297057,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.330167,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.383931,54,52.46.132.49,443,1.0,279,1,1,,1,ack
2018-10-25 19:03:15.398616,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.425651,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.490902,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.540196,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.590851,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.640797,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.702207,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.727271,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.799233,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.826458,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:03:15.889542,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
