date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 11:08:43.658104,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 11:08:43.687109,66,104.154.126.169,4070,1.0,10850703,1,1,,1,ack
2018-10-23 11:08:51.965126,283,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:51.980895,1165,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.009403,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.011019,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.011048,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.011072,928,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.011096,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.028713,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.038929,1031,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.043102,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.043747,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.044734,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.045420,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.046467,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.047790,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.068073,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.092716,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.093122,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.093151,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.093176,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.093965,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.099309,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.107457,1031,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.117766,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.158533,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:08:52.204775,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
