date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-05 21:22:26.245696,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-05 21:22:29.311464,66,13.35.87.104,80,1.0,-1806260437,1,1,,1,ack
2018-11-05 21:22:33.551128,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.551589,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.551659,1514,52.94.235.50,443,1.0,-1806497115,1,1,,1,not_relevant
2018-11-05 21:22:33.551677,1471,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.551694,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.551916,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.551971,176,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.567950,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.593048,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.593395,1514,52.94.235.50,443,1.0,41,1,1,,1,not_relevant
2018-11-05 21:22:33.601179,74,54.239.26.255,443,1.0,-1806258414,0,1,,1,retransmit
2018-11-05 21:22:33.601562,1514,52.94.235.50,443,1.0,8,1,1,,1,not_relevant
2018-11-05 21:22:33.602846,224,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.632305,1514,52.94.235.50,443,1.0,30,1,1,,1,not_relevant
2018-11-05 21:22:33.632359,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:22:33.632376,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:22:33.632418,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.646556,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.646817,54,54.239.26.255,443,1.0,45,1,1,,1,ack
2018-11-05 21:22:33.647531,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-05 21:22:33.665534,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.692976,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.694981,54,54.239.26.255,443,1.0,48,1,1,,1,ack
2018-11-05 21:22:33.695425,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-05 21:22:33.713343,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.727577,54,52.94.235.50,443,1.0,95,1,1,,1,ack
2018-11-05 21:22:33.729523,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.741415,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.776047,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.788743,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.789822,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.805956,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.824512,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.838882,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-05 21:22:33.839518,54,54.239.26.255,443,1.0,144,1,1,,1,ack
2018-11-05 21:22:33.852659,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.887357,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.887594,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.888284,54,54.239.26.255,443,1.0,48,1,1,,1,ack
2018-11-05 21:22:33.901535,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.937078,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.950834,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.964833,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:33.979287,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.013849,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.030945,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.052278,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.063167,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.073451,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.074057,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.076030,1514,52.94.235.50,443,1.0,348,1,1,,1,not_relevant
2018-11-05 21:22:34.076095,1174,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.076353,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.076941,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.090561,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.111959,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.125897,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.139772,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.179430,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.191263,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.209403,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.223155,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.250520,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.271903,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.286083,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.300022,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.334560,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.349501,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.363311,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.383471,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.411930,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:22:34.432726,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
