date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-15 18:53:56.085941,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-15 18:54:02.253995,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.254329,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.254930,1514,52.94.227.146,443,1.0,-3661503898,1,1,,1,not_relevant
2018-10-15 18:54:02.254995,1151,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.255029,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.258596,180,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.260596,176,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.296601,285,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.298158,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.299626,1514,52.94.227.146,443,1.0,44,1,1,,1,not_relevant
2018-10-15 18:54:02.320494,1364,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.351636,74,54.239.29.0,443,1.0,-3661357693,0,1,,1,retransmit
2018-10-15 18:54:02.358921,54,52.94.227.146,443,1.0,59,1,1,,1,ack
2018-10-15 18:54:02.359727,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 18:54:02.361380,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-10-15 18:54:02.361448,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 18:54:02.361481,492,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.373439,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.395272,54,54.239.29.0,443,1.0,43,1,1,,1,ack
2018-10-15 18:54:02.396368,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-10-15 18:54:02.408373,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.421382,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.427000,54,52.94.227.146,443,1.0,65,1,1,,1,ack
2018-10-15 18:54:02.427289,54,52.94.227.146,443,1.0,0,1,1,,1,ack
2018-10-15 18:54:02.437178,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.442537,54,54.239.29.0,443,1.0,47,1,1,,1,ack
2018-10-15 18:54:02.443172,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-10-15 18:54:02.443910,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-10-15 18:54:02.444215,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-10-15 18:54:02.450048,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.475607,66,54.239.29.0,443,1.0,31,1,1,,1,ack
2018-10-15 18:54:02.483900,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:54:02.488162,180,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-10-15 18:54:02.497235,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
