date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 00:52:58.970588,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-23 00:53:06.551347,641,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:06.552003,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:06.552109,1514,52.94.227.146,443,1.0,1837581,1,1,,1,not_relevant
2018-10-23 00:53:06.552166,1426,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:06.552225,136,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:06.594325,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:06.598856,1514,52.94.227.146,443,1.0,46,1,1,,1,not_relevant
2018-10-23 00:53:06.821307,54,52.94.227.146,443,1.0,222,1,1,,1,ack
2018-10-23 00:53:17.084741,295,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:17.084913,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:17.090648,1514,52.94.227.146,443,1.0,10269,1,1,,1,not_relevant
2018-10-23 00:53:17.140864,74,52.94.232.195,443,1.0,2048688,0,1,,1,retransmit
2018-10-23 00:53:17.142484,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:17.142835,1514,52.94.227.146,443,1.0,52,1,1,,1,not_relevant
2018-10-23 00:53:17.144660,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:17.144682,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-10-23 00:53:17.144700,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:53:17.193394,54,52.94.232.195,443,1.0,52,1,1,,1,ack
2018-10-23 00:53:17.194180,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-23 00:53:17.197106,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:53:17.197437,1514,52.94.227.146,443,1.0,52,1,1,,1,not_relevant
2018-10-23 00:53:17.198070,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:53:17.198093,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:53:17.198111,341,52.94.227.146,443,3.0,0,1,1,23,1,expected
