date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-05 21:31:26.248175,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-05 21:31:33.697774,66,13.35.87.104,80,1.0,-1723834074,1,1,,1,ack
2018-11-05 21:31:33.857539,54,52.216.64.192,80,1.0,-1723241859,1,1,,1,ack
2018-11-05 21:31:40.937007,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.937334,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.941413,1514,52.94.235.50,443,1.0,-1723223178,1,1,,1,not_relevant
2018-11-05 21:31:40.941462,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.941493,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.941524,313,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.956967,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.958300,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.977489,1514,52.94.235.50,443,1.0,36,1,1,,1,not_relevant
2018-11-05 21:31:40.979107,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:40.982193,74,52.94.232.195,443,1.0,-1723237467,0,1,,1,retransmit
2018-11-05 21:31:40.983171,89,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:31:41.020518,54,52.94.232.195,443,1.0,38,1,1,,1,ack
2018-11-05 21:31:41.028572,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-05 21:31:41.039460,1514,52.94.235.50,443,1.0,61,1,1,,1,not_relevant
2018-11-05 21:31:41.039514,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:31:41.039544,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:31:41.039590,252,52.94.235.50,443,3.0,0,1,1,23,1,expected
