date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-15 19:43:26.074792,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-15 19:43:30.120792,285,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.121077,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.121596,1514,52.94.227.146,443,1.0,-1822196112,1,1,,1,not_relevant
2018-10-15 19:43:30.121806,1152,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.163028,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.174285,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.176041,1514,52.94.227.146,443,1.0,54,1,1,,1,not_relevant
2018-10-15 19:43:30.176068,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:43:30.176086,496,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.258340,1514,52.94.227.146,443,1.0,82,1,1,,1,not_relevant
2018-10-15 19:43:30.258367,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:43:30.258384,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:43:30.258401,572,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.298198,54,52.94.227.146,443,1.0,39,1,1,,1,ack
2018-10-15 19:43:30.300823,290,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.305444,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.319173,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.339576,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.367528,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.381402,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.401951,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.416384,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.451037,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.465122,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.479490,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.493397,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.528491,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.542439,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.556261,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.577409,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.606610,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.626393,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.630382,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.630981,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.682791,1514,52.94.227.146,443,1.0,384,1,1,,1,not_relevant
2018-10-15 19:43:30.683087,1211,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.689000,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.702990,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.728290,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.738287,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.766371,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.811558,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.811722,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.815294,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.818532,54,52.94.227.146,443,1.0,135,1,1,,1,ack
2018-10-15 19:43:30.850301,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.864220,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.878880,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.892741,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.927633,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:43:30.941679,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
