date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 00:32:30.012899,54,52.94.235.50,443,1.0,-6336449,1,1,,1,ack
2018-11-27 00:32:30.014812,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 00:32:49.545263,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.545682,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.545941,1514,52.94.235.50,443,1.0,19533,1,1,,1,not_relevant
2018-11-27 00:32:49.593662,1514,52.94.235.50,443,1.0,47,1,1,,1,not_relevant
2018-11-27 00:32:49.593976,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.594513,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.594536,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:32:49.595921,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 00:32:49.630316,74,54.239.26.255,443,1.0,-6439595,0,1,,1,retransmit
2018-11-27 00:32:49.634029,1514,52.94.235.50,443,1.0,38,1,1,,1,not_relevant
2018-11-27 00:32:49.635510,692,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.682788,54,54.239.26.255,443,1.0,52,1,1,,1,ack
2018-11-27 00:32:49.689691,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 00:32:49.691975,1514,52.94.235.50,443,1.0,57,1,1,,1,not_relevant
2018-11-27 00:32:49.692565,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:32:49.692595,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:32:49.692790,812,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.704668,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.741717,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.742897,54,54.239.26.255,443,1.0,60,1,1,,1,ack
2018-11-27 00:32:49.743825,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-27 00:32:49.749044,54,52.94.235.50,443,1.0,56,1,1,,1,ack
2018-11-27 00:32:49.753577,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.767682,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.788424,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.816436,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.830343,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.841379,768,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.851156,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.865644,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.894045,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 00:32:49.894237,54,54.239.26.255,443,1.0,151,1,1,,1,ack
2018-11-27 00:32:49.899953,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.913956,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.928391,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.941842,54,54.239.26.255,443,1.0,47,1,1,,1,ack
2018-11-27 00:32:49.942542,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.978243,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:49.991457,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.012267,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.026334,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.054617,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.075332,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.092707,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.098967,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.099797,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:32:50.114221,1514,52.94.235.50,443,1.0,365,1,1,,1,not_relevant
