date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 03:56:30.069257,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-27 03:56:39.728361,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.733026,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.734220,1514,52.94.227.146,443,1.0,1840508265,1,1,,1,not_relevant
2018-11-27 03:56:39.734244,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:56:39.734262,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.735222,1029,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.740369,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.742057,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.773007,1514,52.94.227.146,443,1.0,38,1,1,,1,not_relevant
2018-11-27 03:56:39.773301,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:56:39.773547,783,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.778215,74,52.94.232.195,443,1.0,1840452290,0,1,,1,retransmit
2018-11-27 03:56:39.820165,54,52.94.232.195,443,1.0,41,1,1,,1,ack
2018-11-27 03:56:39.822671,1514,52.94.227.146,443,1.0,49,1,1,,1,not_relevant
2018-11-27 03:56:39.823258,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:56:39.823280,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:56:39.823372,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.824741,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-27 03:56:39.849329,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.863376,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.870865,54,52.94.232.195,443,1.0,50,1,1,,1,ack
2018-11-27 03:56:39.871260,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-27 03:56:39.884589,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.890450,54,52.94.227.146,443,1.0,67,1,1,,1,ack
2018-11-27 03:56:39.898665,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.946313,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.947228,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.959945,766,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.961196,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:39.974850,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.006258,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-27 03:56:40.006351,54,52.94.232.195,443,1.0,135,1,1,,1,ack
2018-11-27 03:56:40.010626,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.024242,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.044688,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.045359,54,52.94.232.195,443,1.0,39,1,1,,1,ack
2018-11-27 03:56:40.058702,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.087072,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.107715,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.121656,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.136227,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.170633,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.184668,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.199056,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.219916,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.237527,643,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.238105,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.238168,1514,52.94.227.146,443,1.0,347,1,1,,1,not_relevant
2018-11-27 03:56:40.238572,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:56:40.238596,406,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.238614,136,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 03:56:40.238743,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
