date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-15 19:36:56.076819,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-15 19:37:06.994225,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:06.994680,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:06.994809,1514,52.94.227.146,443,1.0,-3541942144,1,1,,1,not_relevant
2018-10-15 19:37:06.995112,1153,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:06.995154,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:06.995423,180,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:06.995719,176,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.034886,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.040257,1514,52.94.227.146,443,1.0,45,1,1,,1,not_relevant
2018-10-15 19:37:07.040768,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.041314,140,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.041783,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-10-15 19:37:07.057039,1514,52.94.227.146,443,1.0,15,1,1,,1,not_relevant
2018-10-15 19:37:07.057085,74,52.94.232.195,443,1.0,-3541982809,0,1,,1,retransmit
2018-10-15 19:37:07.076131,1514,52.94.227.146,443,1.0,19,1,1,,1,not_relevant
2018-10-15 19:37:07.090392,1514,52.94.227.146,443,1.0,14,1,1,,1,not_relevant
2018-10-15 19:37:07.090802,210,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.090879,140,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:37:07.091027,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.118710,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.151131,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.152886,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.154895,54,52.94.227.146,443,1.0,64,1,1,,1,ack
2018-10-15 19:37:07.169928,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.205083,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.219138,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.232834,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.247036,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.281985,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.296829,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.310889,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.330998,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.360000,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.390945,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.393926,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.408070,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.443721,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.456831,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.471880,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.492644,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.507929,285,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.508168,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.510990,1514,52.94.227.146,443,1.0,356,1,1,,1,not_relevant
2018-10-15 19:37:07.511034,856,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.532510,292,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.534681,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.556847,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.569265,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.609449,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.618543,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.632538,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.646063,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.646847,54,52.94.227.146,443,1.0,135,1,1,,1,ack
2018-10-15 19:37:07.681455,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.696283,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.710848,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.730537,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.757892,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.779377,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.792984,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.807121,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.842408,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.856500,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.870793,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.906564,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.919148,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.957491,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.957665,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:07.968050,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.002867,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.016895,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.031183,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.045068,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.054082,74,52.94.232.195,443,1.0,996,0,1,,1,retransmit
2018-10-15 19:37:08.079990,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.094420,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.115354,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.131302,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.165964,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.178131,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.191818,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.206414,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.240721,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.254909,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.270948,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:37:08.290353,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
