date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-15 18:47:56.076326,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-15 18:48:16.048696,288,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.049306,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.049351,1514,52.94.227.146,443,1.0,-4097497414,1,1,,1,not_relevant
2018-10-15 18:48:16.049384,1286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.051587,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.052376,180,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.053507,144,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.072834,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.074300,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.098610,1514,52.94.227.146,443,1.0,49,1,1,,1,not_relevant
2018-10-15 18:48:16.100172,1364,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.104250,74,54.239.26.255,443,1.0,-4097306186,0,1,,1,retransmit
2018-10-15 18:48:16.149231,1514,52.94.227.146,443,1.0,50,1,1,,1,not_relevant
2018-10-15 18:48:16.149274,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 18:48:16.149306,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 18:48:16.150546,412,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.155282,54,54.239.26.255,443,1.0,51,1,1,,1,ack
2018-10-15 18:48:16.156933,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-15 18:48:16.165667,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.179498,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.193290,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.201729,54,54.239.26.255,443,1.0,46,1,1,,1,ack
2018-10-15 18:48:16.206356,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-10-15 18:48:16.208056,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.254388,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.256412,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.277149,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.291234,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.313541,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.326090,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.339841,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.353982,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.364150,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-10-15 18:48:16.364313,54,54.239.26.255,443,1.0,162,1,1,,1,ack
2018-10-15 18:48:16.368406,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.402827,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.404173,54,54.239.26.255,443,1.0,39,1,1,,1,ack
2018-10-15 18:48:16.416920,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.431361,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.451833,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.479792,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.500287,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.514032,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.529164,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.566283,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.567011,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.567650,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.568954,1514,52.94.227.146,443,1.0,419,1,1,,1,not_relevant
2018-10-15 18:48:16.569194,853,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.569506,136,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.570236,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.577763,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.591526,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.612253,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.640282,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 18:48:16.661144,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
