date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 03:15:41.712420,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 03:15:51.973712,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:51.974444,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:51.974494,1514,52.94.235.50,443,1.0,2580312,1,1,,1,not_relevant
2018-11-27 03:15:51.974556,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:15:51.974617,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:51.974679,1174,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:51.984458,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.042292,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.043687,1514,52.94.235.50,443,1.0,69,1,1,,1,not_relevant
2018-11-27 03:15:52.045318,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 03:15:52.045362,918,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.045503,74,52.94.232.195,443,1.0,2193464,0,1,,1,retransmit
2018-11-27 03:15:52.060562,1514,52.94.235.50,443,1.0,15,1,1,,1,not_relevant
2018-11-27 03:15:52.060611,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:15:52.089765,1514,52.94.235.50,443,1.0,29,1,1,,1,not_relevant
2018-11-27 03:15:52.091163,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.093747,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.095792,54,52.94.232.195,443,1.0,50,1,1,,1,ack
2018-11-27 03:15:52.097639,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-27 03:15:52.105528,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.140678,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.152546,54,52.94.232.195,443,1.0,56,1,1,,1,ack
2018-11-27 03:15:52.152770,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-27 03:15:52.152905,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-27 03:15:52.153070,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-27 03:15:52.154522,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.168643,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.171408,54,52.94.235.50,443,1.0,81,1,1,,1,ack
2018-11-27 03:15:52.171616,66,52.94.232.195,443,1.0,18,1,1,,1,ack
2018-11-27 03:15:52.182429,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.183102,180,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-27 03:15:52.216769,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.230067,766,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.230617,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.252642,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.266466,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.281127,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-27 03:15:52.281320,54,52.94.232.195,443,1.0,109,1,1,,1,ack
2018-11-27 03:15:52.295148,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:15:52.315608,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
