date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 02:51:51.739960,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 02:51:51.862333,54,52.94.235.50,443,1.0,18766365,1,1,,1,ack
2018-11-27 02:51:53.794935,66,99.84.170.80,80,1.0,18941432,1,1,,1,ack
2018-11-27 02:51:53.900167,74,99.84.170.140,80,1.0,18938676,0,1,,1,retransmit
2018-11-27 02:51:53.927431,66,99.84.170.140,80,1.0,27,1,1,,1,ack
2018-11-27 02:51:53.928912,256,99.84.170.140,80,3.0,0,1,1,,1,not_relevant
2018-11-27 02:51:53.961106,66,99.84.170.140,80,1.0,33,1,1,,1,ack
2018-11-27 02:51:53.963922,54,52.216.133.99,80,1.0,18938358,1,1,,1,ack
2018-11-27 02:51:53.995875,74,54.231.72.211,80,1.0,18937904,0,1,,1,retransmit
2018-11-27 02:51:54.022645,66,99.84.170.80,80,1.0,227,1,1,,1,ack
2018-11-27 02:51:54.094107,54,54.231.72.211,80,1.0,98,1,1,,1,ack
2018-11-27 02:51:54.095689,200,54.231.72.211,80,3.0,0,1,1,,1,not_relevant
2018-11-27 02:51:54.177699,54,54.231.72.211,80,1.0,83,1,1,,1,ack
2018-11-27 02:51:54.181489,54,54.231.72.211,80,1.0,3,1,1,,1,ack
2018-11-27 02:51:54.198866,66,54.231.72.211,80,1.0,17,1,1,,1,ack
2018-11-27 02:51:54.229571,54,52.216.133.99,80,1.0,265,1,1,,1,ack
2018-11-27 02:51:54.252903,66,99.84.170.80,80,1.0,230,1,1,,1,ack
2018-11-27 02:51:54.462278,54,52.216.133.99,80,1.0,232,1,1,,1,ack
2018-11-27 02:51:54.716134,66,99.84.170.80,80,1.0,463,1,1,,1,ack
2018-11-27 02:51:54.965903,54,52.216.133.99,80,1.0,503,1,1,,1,ack
2018-11-27 02:51:55.635731,66,99.84.170.80,80,1.0,919,1,1,,1,ack
2018-11-27 02:51:55.965907,54,52.216.133.99,80,1.0,1000,1,1,,1,ack
2018-11-27 02:51:57.475949,66,99.84.170.80,80,1.0,1840,1,1,,1,ack
2018-11-27 02:51:57.967425,54,52.216.133.99,80,1.0,2001,1,1,,1,ack
2018-11-27 02:51:58.452710,295,52.94.232.230,443,3.0,0,1,1,23,1,expected
2018-11-27 02:51:58.521603,54,52.94.232.230,443,1.0,18903458,1,1,,1,ack
2018-11-27 02:52:00.612897,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.620346,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.621034,1514,52.94.235.50,443,1.0,8758,1,1,,1,not_relevant
2018-11-27 02:52:00.621963,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:52:00.622005,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.693428,74,54.239.29.0,443,1.0,18902864,0,1,,1,retransmit
2018-11-27 02:52:00.699461,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.700051,1514,52.94.235.50,443,1.0,78,1,1,,1,not_relevant
2018-11-27 02:52:00.707229,1514,52.94.235.50,443,1.0,7,1,1,,1,not_relevant
2018-11-27 02:52:00.708719,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:52:00.713259,628,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.773966,54,54.239.29.0,443,1.0,80,1,1,,1,ack
2018-11-27 02:52:00.777747,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:52:00.782244,1514,52.94.235.50,443,1.0,73,1,1,,1,not_relevant
2018-11-27 02:52:00.782891,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:52:00.788512,1514,52.94.235.50,443,1.0,5,1,1,,1,not_relevant
2018-11-27 02:52:00.788909,488,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.823719,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.826561,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.861446,54,52.94.235.50,443,1.0,72,1,1,,1,ack
2018-11-27 02:52:00.861614,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-27 02:52:00.865095,54,54.239.29.0,443,1.0,91,1,1,,1,ack
2018-11-27 02:52:00.865357,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-27 02:52:00.867990,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.889608,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.903564,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.917634,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.937928,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.966453,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.980113,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:00.999951,764,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.000783,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.014854,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.048803,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.062929,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.077880,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.094748,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-27 02:52:01.094929,54,54.239.29.0,443,1.0,229,1,1,,1,ack
2018-11-27 02:52:01.098051,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.125774,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.138243,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:52:01.138596,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
