date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-12-02 04:49:21.397834,295,205.251.243.55,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:21.439024,54,205.251.243.55,443,1.0,434752929,1,1,,1,ack
2018-12-02 04:49:31.969891,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:31.970607,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:31.973099,1514,52.94.229.122,443,1.0,4096168778,1,1,,1,not_relevant
2018-12-02 04:49:31.973171,1490,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:31.983436,74,54.239.26.255,443,1.0,434960565,0,1,,1,retransmit
2018-12-02 04:49:32.024878,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.025603,1514,52.94.229.122,443,1.0,52,1,1,,1,not_relevant
2018-12-02 04:49:32.027577,1514,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-12-02 04:49:32.028373,265,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.030440,54,54.239.26.255,443,1.0,47,1,1,,1,ack
2018-12-02 04:49:32.032818,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-12-02 04:49:32.079419,54,54.239.26.255,443,1.0,48,1,1,,1,ack
2018-12-02 04:49:32.081014,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-12-02 04:49:32.122156,1514,52.94.229.122,443,1.0,94,1,1,,1,not_relevant
2018-12-02 04:49:32.122224,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:49:32.122510,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:49:32.122553,332,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.131497,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.144908,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.160392,54,52.94.229.122,443,1.0,37,1,1,,1,ack
2018-12-02 04:49:32.168365,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.169555,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.193809,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.207884,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.216755,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-12-02 04:49:32.216947,54,54.239.26.255,443,1.0,137,1,1,,1,ack
2018-12-02 04:49:32.228670,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.242850,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.258481,54,54.239.26.255,443,1.0,41,1,1,,1,ack
2018-12-02 04:49:32.277455,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.291506,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.305814,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.319717,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.354690,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.368721,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.382559,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.403458,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.431901,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.452714,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.493202,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.494279,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.494371,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.494536,1514,52.94.229.122,443,1.0,334,1,1,,1,not_relevant
2018-12-02 04:49:32.494590,1091,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.516327,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.549630,290,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.565433,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.592947,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.607387,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.627410,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.641335,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.676145,54,52.94.229.122,443,1.0,181,1,1,,1,ack
2018-12-02 04:49:32.678736,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.690591,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.705489,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.725599,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.752897,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.767358,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.787953,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.801588,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.836706,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.850526,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.865074,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.878863,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.913666,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.930059,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.948628,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.965290,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:32.997371,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.011224,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.026609,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.039684,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.074589,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.089118,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.102543,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.123185,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.152454,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.193050,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.193274,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.200677,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.238340,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.249342,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:49:33.263558,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
