date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 19:36:12.300728,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-26 19:36:15.539182,66,99.84.170.230,80,1.0,-26406469,1,1,,1,ack
2018-11-26 19:36:16.833647,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.837344,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.838053,1078,52.94.229.122,443,1.0,-26664870,1,1,,1,not_relevant
2018-11-26 19:36:16.839745,1078,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-26 19:36:16.839789,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.839856,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.839920,405,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.887460,1078,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.888147,1078,52.94.229.122,443,1.0,48,1,1,,1,not_relevant
2018-11-26 19:36:16.888193,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.888262,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.888321,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.888377,1078,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.888433,135,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.888964,74,54.239.29.0,443,1.0,-26407611,0,1,,1,retransmit
2018-11-26 19:36:16.928415,54,52.94.229.122,443,1.0,40,1,1,,1,ack
2018-11-26 19:36:16.932810,54,54.239.29.0,443,1.0,43,1,1,,1,ack
2018-11-26 19:36:16.934428,1078,52.94.229.122,443,1.0,6,1,1,,1,not_relevant
2018-11-26 19:36:16.934459,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.934545,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.934653,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:36:16.934754,572,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.934788,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-26 19:36:16.951257,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.965035,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.979835,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:16.981410,54,54.239.29.0,443,1.0,48,1,1,,1,ack
2018-11-26 19:36:16.985454,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-26 19:36:17.000038,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:17.009347,54,52.94.229.122,443,1.0,74,1,1,,1,ack
2018-11-26 19:36:17.009686,54,52.94.229.122,443,1.0,0,1,1,,1,ack
2018-11-26 19:36:17.028397,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:17.042140,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:36:17.063253,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
