date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-26 21:42:51.332920,66,99.84.170.80,80,1.0,-20660375,1,1,,1,ack
2018-11-26 21:42:54.053102,54,52.216.230.83,80,1.0,-20672408,1,1,,1,ack
2018-11-26 21:42:57.549613,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.551041,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.555135,1514,52.94.235.50,443,1.0,-20463085,1,1,,1,not_relevant
2018-11-26 21:42:57.555177,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:42:57.588327,74,52.94.232.195,443,1.0,-20465855,0,1,,1,retransmit
2018-11-26 21:42:57.594688,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.599492,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.600616,1514,52.94.235.50,443,1.0,45,1,1,,1,not_relevant
2018-11-26 21:42:57.602381,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-26 21:42:57.602424,1266,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.633541,54,52.94.232.195,443,1.0,45,1,1,,1,ack
2018-11-26 21:42:57.635412,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 21:42:57.649827,1514,52.94.235.50,443,1.0,47,1,1,,1,not_relevant
2018-11-26 21:42:57.649933,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:42:57.656613,1514,52.94.235.50,443,1.0,6,1,1,,1,not_relevant
2018-11-26 21:42:57.657995,252,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.677158,54,52.94.232.195,443,1.0,43,1,1,,1,ack
2018-11-26 21:42:57.677514,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-26 21:42:57.688322,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.707131,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.721303,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.755528,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.760298,764,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.769052,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.783190,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.783521,54,52.94.235.50,443,1.0,126,1,1,,1,ack
2018-11-26 21:42:57.797402,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:42:57.806213,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-26 21:42:57.806526,54,52.94.232.195,443,1.0,129,1,1,,1,ack
