date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-25 20:03:47.900917,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-25 20:03:52.278185,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.286112,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.286656,1514,52.94.229.122,443,1.0,-113754920,1,1,,1,not_relevant
2018-11-25 20:03:52.286680,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:03:52.286696,719,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.286710,132,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.312478,74,54.239.26.255,443,1.0,-113522191,0,1,,1,retransmit
2018-11-25 20:03:52.321011,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.333216,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.334004,1514,52.94.229.122,443,1.0,47,1,1,,1,not_relevant
2018-11-25 20:03:52.334742,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:03:52.336450,1514,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-25 20:03:52.352226,54,54.239.26.255,443,1.0,39,1,1,,1,ack
2018-11-25 20:03:52.354014,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-25 20:03:52.363736,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.379543,1514,52.94.229.122,443,1.0,43,1,1,,1,not_relevant
2018-11-25 20:03:52.381397,1514,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-25 20:03:52.381735,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:03:52.396601,54,54.239.26.255,443,1.0,44,1,1,,1,ack
2018-11-25 20:03:52.397005,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-25 20:03:52.411388,1307,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.423153,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.457681,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.472305,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.479298,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.491601,54,52.94.229.122,443,1.0,109,1,1,,1,ack
2018-11-25 20:03:52.493999,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.506403,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.557905,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.558128,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-25 20:03:52.558207,54,54.239.26.255,443,1.0,161,1,1,,1,ack
2018-11-25 20:03:52.558290,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.569877,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.583569,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.597869,54,54.239.26.255,443,1.0,39,1,1,,1,ack
2018-11-25 20:03:52.618639,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.632474,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.646514,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.668164,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.695616,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.718481,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.731124,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.745022,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.779468,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.794327,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.794689,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.796378,1514,52.94.229.122,443,1.0,304,1,1,,1,not_relevant
2018-11-25 20:03:52.796434,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:03:52.838625,1032,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.856622,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.870527,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.891559,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.906732,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.940675,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.955089,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.968792,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:52.975251,54,52.94.229.122,443,1.0,178,1,1,,1,ack
2018-11-25 20:03:52.983546,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.017543,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.031613,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.052654,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.066983,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.094766,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.115261,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.129347,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.143625,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.178330,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.192370,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.298295,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.298538,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.298625,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.298715,290,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.304279,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.430724,644,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.430983,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.453549,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.465392,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.503430,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.565098,408,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.577523,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.591212,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.612266,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.626578,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.657442,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.679843,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.692009,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.742689,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.743499,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.754522,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.767983,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.879743,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.899616,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.913549,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.957944,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.958091,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.976570,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.990562,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:53.999150,526,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.018103,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.031037,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.064488,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.073611,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.087619,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.108530,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.136279,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.151155,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.175487,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.185563,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.220077,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.234765,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.248473,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.262205,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.296644,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.310674,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.332594,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.345620,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.380337,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.394452,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.408787,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.422615,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.459277,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.471405,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.492205,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.506123,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.534690,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.556375,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:03:54.571533,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
