date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-25 19:10:30.840320,288,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:30.840481,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:30.840798,1514,52.94.227.146,443,1.0,-2680607058,1,1,,1,not_relevant
2018-10-25 19:10:30.840816,779,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:30.840832,136,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:30.840912,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:31.072509,54,52.94.227.146,443,1.0,231,1,1,,1,ack
2018-10-25 19:10:31.072669,54,52.94.227.146,443,1.0,0,1,1,,1,ack
2018-10-25 19:10:33.989772,54,54.239.25.214,443,1.0,-2680345316,1,1,,1,ack
2018-10-25 19:10:34.257750,54,54.239.25.214,443,1.0,-2680347394,1,1,,1,ack
2018-10-25 19:10:34.890910,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:34.891126,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:34.900641,1514,52.94.227.146,443,1.0,3827,1,1,,1,not_relevant
2018-10-25 19:10:34.900703,634,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:34.900720,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:34.902150,180,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:34.904230,104,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:34.921835,74,52.94.232.195,443,1.0,-2680347183,0,1,,1,retransmit
2018-10-25 19:10:34.964094,54,52.94.232.195,443,1.0,42,1,1,,1,ack
2018-10-25 19:10:34.972468,280,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-25 19:10:35.042793,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.043240,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.043291,1514,52.94.227.146,443,1.0,142,1,1,,1,not_relevant
2018-10-25 19:10:35.043309,836,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.043325,136,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.043396,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.045363,54,52.94.232.195,443,1.0,81,1,1,,1,ack
2018-10-25 19:10:35.045458,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-25 19:10:35.045535,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-25 19:10:35.045934,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-25 19:10:35.046546,66,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-25 19:10:35.150233,1514,52.94.227.146,443,1.0,106,1,1,,1,not_relevant
2018-10-25 19:10:35.150259,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-25 19:10:35.150275,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-25 19:10:35.150291,1452,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.157758,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.171030,54,52.94.227.146,443,1.0,20,1,1,,1,ack
2018-10-25 19:10:35.171156,54,52.94.227.146,443,1.0,0,1,1,,1,ack
2018-10-25 19:10:35.174004,180,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-25 19:10:35.174182,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.192298,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.219145,54,52.94.232.195,443,1.0,172,1,1,,1,ack
2018-10-25 19:10:35.220297,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.224171,764,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.241174,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.255832,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.269511,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.277496,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-10-25 19:10:35.277838,54,52.94.232.195,443,1.0,58,1,1,,1,ack
2018-10-25 19:10:35.304123,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-25 19:10:35.318183,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
