date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 00:40:28.973096,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-23 00:40:38.361431,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.362171,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.362225,1514,52.94.227.146,443,1.0,-3030211192,1,1,,1,not_relevant
2018-10-23 00:40:38.362256,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.362530,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.362709,281,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.400164,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.406264,1514,52.94.227.146,443,1.0,44,1,1,,1,not_relevant
2018-10-23 00:40:38.408020,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-10-23 00:40:38.408059,289,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.416165,74,52.94.232.195,443,1.0,-3030038861,0,1,,1,retransmit
2018-10-23 00:40:38.458106,54,52.94.227.146,443,1.0,50,1,1,,1,ack
2018-10-23 00:40:38.458846,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:40:38.458984,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:40:38.459054,1392,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.464303,54,52.94.232.195,443,1.0,48,1,1,,1,ack
2018-10-23 00:40:38.465473,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-23 00:40:38.476426,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.503372,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.514758,54,52.94.232.195,443,1.0,50,1,1,,1,ack
2018-10-23 00:40:38.515091,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-23 00:40:38.515263,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-23 00:40:38.515423,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-23 00:40:38.537709,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.538026,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.543580,66,52.94.232.195,443,1.0,28,1,1,,1,ack
2018-10-23 00:40:38.551545,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.572743,180,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-23 00:40:38.586169,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:40:38.601334,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
