date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-25 20:12:04.119532,66,99.84.171.79,443,1.0,1859367,1,1,,1,ack
2018-11-25 20:12:04.119859,97,99.84.171.79,443,3.0,0,1,1,21,1,handshake
2018-11-25 20:12:04.119992,66,99.84.171.79,443,1.0,0,1,1,,1,ack
2018-11-25 20:12:15.406181,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.406680,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.407578,1514,52.94.229.122,443,1.0,2062236,1,1,,1,not_relevant
2018-11-25 20:12:15.407629,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:12:15.407697,923,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.407825,176,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.425285,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.426268,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.450506,1514,52.94.229.122,443,1.0,42,1,1,,1,not_relevant
2018-11-25 20:12:15.455208,74,54.239.26.255,443,1.0,2059319,0,1,,1,retransmit
2018-11-25 20:12:15.455956,1514,52.94.229.122,443,1.0,5,1,1,,1,not_relevant
2018-11-25 20:12:15.461089,932,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.498192,54,54.239.26.255,443,1.0,42,1,1,,1,ack
2018-11-25 20:12:15.499755,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-25 20:12:15.503008,1514,52.94.229.122,443,1.0,47,1,1,,1,not_relevant
2018-11-25 20:12:15.503054,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:12:15.503119,1392,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.516999,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.546406,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.548225,54,54.239.26.255,443,1.0,50,1,1,,1,ack
2018-11-25 20:12:15.548749,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-25 20:12:15.559964,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.567316,54,52.94.229.122,443,1.0,64,1,1,,1,ack
2018-11-25 20:12:15.574472,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.595144,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.622789,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.633891,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.643876,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.658123,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.671842,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.677408,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-25 20:12:15.677624,54,54.239.26.255,443,1.0,129,1,1,,1,ack
2018-11-25 20:12:15.708228,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.716864,54,54.239.26.255,443,1.0,39,1,1,,1,ack
2018-11-25 20:12:15.720515,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.734623,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:12:15.755682,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
