date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 04:00:00.072133,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-27 04:00:11.042169,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.042888,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.042940,1514,52.94.227.146,443,1.0,3661064966,1,1,,1,not_relevant
2018-11-27 04:00:11.043001,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:00:11.043035,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.043350,1133,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.071755,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.073391,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.089851,1514,52.94.227.146,443,1.0,46,1,1,,1,not_relevant
2018-11-27 04:00:11.091796,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-11-27 04:00:11.092165,779,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.119185,1514,52.94.227.146,443,1.0,27,1,1,,1,not_relevant
2018-11-27 04:00:11.119230,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:00:11.119373,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:00:11.130195,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.132436,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.132777,74,54.239.29.0,443,1.0,3661204267,0,1,,1,retransmit
2018-11-27 04:00:11.144879,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.180639,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.180820,54,54.239.29.0,443,1.0,48,1,1,,1,ack
2018-11-27 04:00:11.182737,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 04:00:11.193795,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.208080,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.229435,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.231367,54,52.94.227.146,443,1.0,111,1,1,,1,ack
2018-11-27 04:00:11.233479,54,54.239.29.0,443,1.0,52,1,1,,1,ack
2018-11-27 04:00:11.233582,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-27 04:00:11.233735,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-27 04:00:11.233820,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-27 04:00:11.255628,66,54.239.29.0,443,1.0,21,1,1,,1,ack
2018-11-27 04:00:11.257769,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.269495,180,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 04:00:11.270620,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.291946,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.305748,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.315849,54,54.239.29.0,443,1.0,60,1,1,,1,ack
2018-11-27 04:00:11.318117,766,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.352450,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.354503,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.368647,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-27 04:00:11.368762,54,54.239.29.0,443,1.0,52,1,1,,1,ack
2018-11-27 04:00:11.369109,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.384725,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:00:11.417533,54,54.239.29.0,443,1.0,48,1,1,,1,ack
2018-11-27 04:00:11.418813,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
