date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 00:42:00.021667,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 00:42:07.353637,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.353921,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.356049,1514,52.94.235.50,443,1.0,3649525096,1,1,,1,not_relevant
2018-11-27 00:42:07.356096,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:42:07.356133,724,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.365523,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.411509,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.415030,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.416157,1514,52.94.235.50,443,1.0,60,1,1,,1,not_relevant
2018-11-27 00:42:07.416208,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:42:07.416238,1386,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.418517,74,54.239.26.255,443,1.0,3649684778,0,1,,1,retransmit
2018-11-27 00:42:07.462781,54,54.239.26.255,443,1.0,44,1,1,,1,ack
2018-11-27 00:42:07.464804,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 00:42:07.508749,54,54.239.26.255,443,1.0,45,1,1,,1,ack
2018-11-27 00:42:07.513306,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-27 00:42:07.521212,1514,52.94.235.50,443,1.0,105,1,1,,1,not_relevant
2018-11-27 00:42:07.521285,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:42:07.521321,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:42:07.521353,332,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.527541,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.546590,54,52.94.235.50,443,1.0,25,1,1,,1,ack
2018-11-27 00:42:07.550413,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.576544,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.590145,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.609923,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.614550,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.625505,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.660032,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.665383,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 00:42:07.665727,54,54.239.26.255,443,1.0,156,1,1,,1,ack
2018-11-27 00:42:07.674134,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.688572,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.703839,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.705345,54,54.239.26.255,443,1.0,39,1,1,,1,ack
2018-11-27 00:42:07.737524,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.751065,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.772078,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.786117,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.817835,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.835122,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.849574,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.868303,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.872376,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.872745,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.873245,1514,52.94.235.50,443,1.0,326,1,1,,1,not_relevant
2018-11-27 00:42:07.888552,1514,52.94.235.50,443,1.0,15,1,1,,1,not_relevant
2018-11-27 00:42:07.890024,547,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.913318,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.928555,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.947266,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.975420,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:07.996204,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.010745,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.024108,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.045916,54,52.94.235.50,443,1.0,157,1,1,,1,ack
2018-11-27 00:42:08.059143,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.072863,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.105751,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.108284,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.136032,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.150004,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.173295,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.185295,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.224271,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.234040,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.248177,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.262314,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.296995,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.310893,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.332036,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.346455,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.374035,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:42:08.395323,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
