date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-25 19:21:47.904158,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-25 19:22:13.811412,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.811698,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.812023,1514,52.94.229.122,443,1.0,-86008487,1,1,,1,not_relevant
2018-11-25 19:22:13.812040,635,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.812054,132,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.812150,180,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.812552,208,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.871481,74,54.239.29.0,443,1.0,-103696281,0,1,,1,retransmit
2018-11-25 19:22:13.913358,54,54.239.29.0,443,1.0,41,1,1,,1,ack
2018-11-25 19:22:13.921649,280,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-25 19:22:13.962725,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.963373,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.963435,1514,52.94.229.122,443,1.0,151,1,1,,1,not_relevant
2018-11-25 19:22:13.963467,1055,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.967202,92,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:13.969557,54,54.239.29.0,443,1.0,56,1,1,,1,ack
2018-11-25 19:22:13.969851,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 19:22:13.970786,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 19:22:13.971061,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 19:22:13.992937,66,54.239.29.0,443,1.0,21,1,1,,1,ack
2018-11-25 19:22:14.065091,1514,52.94.229.122,443,1.0,101,1,1,,1,not_relevant
2018-11-25 19:22:14.065124,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:22:14.065140,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:22:14.065157,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:22:14.065264,392,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.074985,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.087315,54,52.94.229.122,443,1.0,22,1,1,,1,ack
2018-11-25 19:22:14.097154,180,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-25 19:22:14.109427,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.122574,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.138868,54,54.239.29.0,443,1.0,145,1,1,,1,ack
2018-11-25 19:22:14.143850,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.146829,769,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.158996,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.192887,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.199961,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-25 19:22:14.200114,54,54.239.29.0,443,1.0,61,1,1,,1,ack
2018-11-25 19:22:14.207581,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.248527,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.248746,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.250113,54,54.239.29.0,443,1.0,49,1,1,,1,ack
2018-11-25 19:22:14.270455,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.283639,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.303890,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.317639,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.346272,638,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.346694,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.348638,1514,52.94.229.122,443,1.0,261,1,1,,1,not_relevant
2018-11-25 19:22:14.348716,583,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.348733,136,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.349108,92,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.352888,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.366668,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.380810,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.395048,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.429605,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.443570,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.465015,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.472452,54,52.94.229.122,443,1.0,123,1,1,,1,ack
2018-11-25 19:22:14.479436,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.507014,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.527708,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.541770,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.556521,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.590731,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.604702,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.618752,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.640399,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.668188,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.688636,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.702853,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.716662,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.751990,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.765546,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.780427,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.800943,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.828828,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.842442,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.863486,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.877886,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.912403,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.948397,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.948565,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.954763,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:14.991539,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.005065,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.024347,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.038424,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.067868,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.087492,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.101586,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.120785,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.150564,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.164570,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.178853,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.199621,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.227919,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.249230,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.263110,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.277194,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.312411,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.325415,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.339516,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.360710,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.388361,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.402428,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.428750,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.437780,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.488348,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.488821,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.500699,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.514695,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.550461,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.564454,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.586593,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.599988,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.653636,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.653775,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.662191,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.676121,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.710595,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.724590,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.738487,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.759653,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.787753,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.809039,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.824500,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.836626,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.871627,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.887021,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.899762,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:22:15.920529,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
