date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-25 19:37:47.901714,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-25 19:37:52.842267,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.844096,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.844256,1514,52.94.229.122,443,1.0,-93872876,1,1,,1,not_relevant
2018-11-25 19:37:52.844289,1229,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.844321,180,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.844645,176,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.888180,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.891764,74,54.239.29.0,443,1.0,-93720691,0,1,,1,retransmit
2018-11-25 19:37:52.892418,1514,52.94.229.122,443,1.0,48,1,1,,1,not_relevant
2018-11-25 19:37:52.892815,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.892864,138,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.952380,1514,52.94.229.122,443,1.0,59,1,1,,1,not_relevant
2018-11-25 19:37:52.952441,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:37:52.952478,1472,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.952517,54,54.239.29.0,443,1.0,60,1,1,,1,ack
2018-11-25 19:37:52.952692,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-25 19:37:52.960836,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.973289,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:52.987523,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.000487,54,54.239.29.0,443,1.0,47,1,1,,1,ack
2018-11-25 19:37:53.000679,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 19:37:53.000813,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 19:37:53.000943,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 19:37:53.014403,54,52.94.229.122,443,1.0,61,1,1,,1,ack
2018-11-25 19:37:53.026469,66,54.239.29.0,443,1.0,25,1,1,,1,ack
2018-11-25 19:37:53.026911,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.036386,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.042383,180,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-25 19:37:53.051477,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.070908,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.079788,54,54.239.29.0,443,1.0,53,1,1,,1,ack
2018-11-25 19:37:53.085945,766,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.099509,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.113531,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:37:53.133304,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-25 19:37:53.134466,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
