date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 00:11:58.972095,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-23 00:12:04.408506,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.408931,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.409921,1514,52.94.227.146,443,1.0,-3472857429,1,1,,1,not_relevant
2018-10-23 00:12:04.409998,1151,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.410069,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.411397,180,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.578013,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.578690,1514,52.94.227.146,443,1.0,168,1,1,,1,not_relevant
2018-10-23 00:12:04.578718,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:12:04.578736,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.578769,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:12:04.578786,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:12:04.579000,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-23 00:12:04.579029,494,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.579420,74,54.239.26.255,443,1.0,-3473046983,0,1,,1,retransmit
2018-10-23 00:12:04.710904,762,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.711089,54,54.239.26.255,443,1.0,131,1,1,,1,ack
2018-10-23 00:12:04.712223,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-23 00:12:04.714606,54,52.94.227.146,443,1.0,135,1,1,,1,ack
2018-10-23 00:12:04.717375,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.729495,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.750454,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.757805,54,54.239.26.255,443,1.0,46,1,1,,1,ack
2018-10-23 00:12:04.778371,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-10-23 00:12:04.789715,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.794990,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.820842,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.867860,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.867975,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.869468,766,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.880277,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.890723,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.896516,288,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.903045,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.904550,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:04.908192,1514,52.94.227.146,443,1.0,193,1,1,,1,not_relevant
2018-10-23 00:12:04.909077,974,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.018533,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.018808,408,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.018831,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-10-23 00:12:05.018930,54,54.239.26.255,443,1.0,261,1,1,,1,ack
2018-10-23 00:12:05.019015,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.036793,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.042069,54,52.94.227.146,443,1.0,133,1,1,,1,ack
2018-10-23 00:12:05.052072,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.066490,54,54.239.26.255,443,1.0,47,1,1,,1,ack
2018-10-23 00:12:05.066730,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.103262,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.120260,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.128498,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.148748,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.178385,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.198319,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.212855,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.226357,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.261639,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-23 00:12:05.275663,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
