date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 02:28:52.601090,66,99.84.170.230,80,1.0,109834701,1,1,,1,ack
2018-11-27 02:28:58.070241,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.070267,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.071764,1514,52.94.235.50,443,1.0,110461895,1,1,,1,not_relevant
2018-11-27 02:28:58.072121,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:28:58.072142,724,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.077989,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.113919,74,54.239.26.255,443,1.0,110458900,0,1,,1,retransmit
2018-11-27 02:28:58.130716,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.135698,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.141627,1514,52.94.235.50,443,1.0,69,1,1,,1,not_relevant
2018-11-27 02:28:58.145887,1514,52.94.235.50,443,1.0,4,1,1,,1,not_relevant
2018-11-27 02:28:58.146777,1438,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.171946,1514,52.94.235.50,443,1.0,26,1,1,,1,not_relevant
2018-11-27 02:28:58.171996,54,54.239.26.255,443,1.0,58,1,1,,1,ack
2018-11-27 02:28:58.172953,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:28:58.188731,1514,52.94.235.50,443,1.0,16,1,1,,1,not_relevant
2018-11-27 02:28:58.195590,1514,52.94.235.50,443,1.0,6,1,1,,1,not_relevant
2018-11-27 02:28:58.202307,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.220383,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.232918,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.233922,54,54.239.26.255,443,1.0,61,1,1,,1,ack
2018-11-27 02:28:58.234970,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-27 02:28:58.254588,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.268378,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.284054,54,52.94.235.50,443,1.0,88,1,1,,1,ack
2018-11-27 02:28:58.302588,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.316497,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.330496,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.335872,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.351846,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.379019,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.395240,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.398637,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 02:28:58.398954,54,54.239.26.255,443,1.0,165,1,1,,1,ack
2018-11-27 02:28:58.413780,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.428210,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.452798,54,54.239.26.255,443,1.0,53,1,1,,1,ack
2018-11-27 02:28:58.462560,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.477159,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.491118,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.504945,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.541419,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:28:58.554568,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
