date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 21:46:05.498508,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-26 21:46:18.608184,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.608571,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.616927,1514,52.94.235.50,443,1.0,2773559497,1,1,,1,not_relevant
2018-11-26 21:46:18.616970,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:46:18.617004,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.649209,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.654797,1514,52.94.235.50,443,1.0,37,1,1,,1,not_relevant
2018-11-26 21:46:18.664084,1514,52.94.235.50,443,1.0,9,1,1,,1,not_relevant
2018-11-26 21:46:18.664449,921,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.683018,74,54.239.26.255,443,1.0,2774142696,0,1,,1,retransmit
2018-11-26 21:46:18.715264,1514,52.94.235.50,443,1.0,51,1,1,,1,not_relevant
2018-11-26 21:46:18.716799,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-26 21:46:18.716840,1392,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.723134,54,54.239.26.255,443,1.0,40,1,1,,1,ack
2018-11-26 21:46:18.724715,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-26 21:46:18.732714,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.745361,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.759352,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.772751,54,54.239.26.255,443,1.0,49,1,1,,1,ack
2018-11-26 21:46:18.773158,54,52.94.235.50,443,1.0,56,1,1,,1,ack
2018-11-26 21:46:18.773309,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-26 21:46:18.795074,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.808186,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:46:18.822286,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
