date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 02:56:11.708073,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 02:56:21.692839,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.693318,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.693347,1514,52.94.235.50,443,1.0,3790408092,1,1,,1,not_relevant
2018-11-27 02:56:21.693364,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:56:21.693527,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.735433,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.736714,74,54.239.29.0,443,1.0,3790639641,0,1,,1,retransmit
2018-11-27 02:56:21.753510,1514,52.94.235.50,443,1.0,60,1,1,,1,not_relevant
2018-11-27 02:56:21.753896,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:56:21.755372,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:56:21.755395,753,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.784171,54,54.239.29.0,443,1.0,47,1,1,,1,ack
2018-11-27 02:56:21.785619,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:56:21.831692,1514,52.94.235.50,443,1.0,76,1,1,,1,not_relevant
2018-11-27 02:56:21.831731,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:56:21.831748,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:56:21.831782,252,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.833270,54,54.239.29.0,443,1.0,49,1,1,,1,ack
2018-11-27 02:56:21.833755,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-27 02:56:21.874172,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.879993,54,52.94.235.50,443,1.0,48,1,1,,1,ack
2018-11-27 02:56:21.897047,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.912474,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.921808,766,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.924861,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.939797,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.968206,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-27 02:56:21.968513,54,54.239.29.0,443,1.0,135,1,1,,1,ack
2018-11-27 02:56:21.973908,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:21.987726,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.008759,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.009003,54,54.239.29.0,443,1.0,40,1,1,,1,ack
2018-11-27 02:56:22.023139,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.050648,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.071897,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.086386,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.099994,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.135898,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.149268,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.163459,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.184071,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.197030,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.198219,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.210708,1514,52.94.235.50,443,1.0,330,1,1,,1,not_relevant
2018-11-27 02:56:22.239878,1514,52.94.235.50,443,1.0,29,1,1,,1,not_relevant
2018-11-27 02:56:22.240212,761,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.247132,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.261195,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.296451,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.334589,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.334782,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.344872,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.373130,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.386950,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.392802,54,52.94.235.50,443,1.0,152,1,1,,1,ack
2018-11-27 02:56:22.407791,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.422572,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.456662,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.470588,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.484838,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.500082,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.533790,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.547892,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.569447,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.583025,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.611339,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.632052,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.646402,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.659654,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.694877,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.708899,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.722883,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.744044,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.771326,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.792388,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.807413,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.819873,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.855079,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.869046,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.882985,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.903934,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.932194,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.953511,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.967058,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:22.981276,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.039495,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.039650,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.043973,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.066258,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.093243,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.107033,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.127841,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.142209,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.177217,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.190643,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.209750,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.223938,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.254121,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.268020,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.289529,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.303158,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.330967,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.351713,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.365870,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.379711,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.414753,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.428764,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.442787,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.464073,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.491889,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.513918,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.527106,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.540132,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.575275,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.589178,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.603447,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.624113,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.652261,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.673035,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.687105,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.701680,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.736392,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.750297,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.764956,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.778753,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.814006,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.827096,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.848062,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.862184,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.897003,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.911013,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.925000,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.939369,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.973961,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:23.988263,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:24.009314,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:56:24.023103,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
