date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-05 21:50:26.236167,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-05 21:50:29.948088,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-05 21:50:30.024867,54,52.94.235.50,443,1.0,2741267078,1,1,,1,ack
2018-11-05 21:50:30.507735,66,13.35.87.104,80,1.0,2741170618,1,1,,1,ack
2018-11-05 21:50:30.513307,74,13.35.87.104,80,1.0,2741288833,0,1,,1,retransmit
2018-11-05 21:50:30.558846,66,13.35.87.104,80,1.0,45,1,1,,1,ack
2018-11-05 21:50:30.559385,256,13.35.87.104,80,3.0,0,1,1,,1,not_relevant
2018-11-05 21:50:30.616137,66,13.35.87.104,80,1.0,57,1,1,,1,ack
2018-11-05 21:50:30.628692,54,52.216.97.227,80,1.0,2741127236,1,1,,1,ack
2018-11-05 21:50:30.662464,74,52.216.164.187,80,1.0,2741288447,0,1,,1,retransmit
2018-11-05 21:50:30.704713,54,52.216.164.187,80,1.0,42,1,1,,1,ack
2018-11-05 21:50:30.706169,200,52.216.164.187,80,3.0,0,1,1,,1,not_relevant
2018-11-05 21:50:30.752222,54,52.216.164.187,80,1.0,47,1,1,,1,ack
2018-11-05 21:50:30.752560,54,52.216.164.187,80,1.0,0,1,1,,1,ack
2018-11-05 21:50:30.754871,66,13.35.87.104,80,1.0,247,1,1,,1,ack
2018-11-05 21:50:30.781343,66,52.216.164.187,80,1.0,28,1,1,,1,ack
2018-11-05 21:50:30.877907,54,52.216.97.227,80,1.0,249,1,1,,1,ack
2018-11-05 21:50:31.007950,66,13.35.87.104,80,1.0,253,1,1,,1,ack
2018-11-05 21:50:31.128010,54,52.216.97.227,80,1.0,250,1,1,,1,ack
2018-11-05 21:50:31.508208,66,13.35.87.104,80,1.0,500,1,1,,1,ack
2018-11-05 21:50:31.627909,54,52.216.97.227,80,1.0,499,1,1,,1,ack
2018-11-05 21:50:32.506614,66,13.35.87.104,80,1.0,998,1,1,,1,ack
2018-11-05 21:50:32.627899,54,52.216.97.227,80,1.0,999,1,1,,1,ack
2018-11-05 21:50:34.508317,66,13.35.87.104,80,1.0,2001,1,1,,1,ack
2018-11-05 21:50:34.627956,54,52.216.97.227,80,1.0,2000,1,1,,1,ack
2018-11-05 21:50:37.352118,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.352375,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.354934,1078,52.94.235.50,443,1.0,7330,1,1,,1,not_relevant
2018-11-05 21:50:37.354972,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:50:37.404459,1078,52.94.235.50,443,1.0,49,1,1,,1,not_relevant
2018-11-05 21:50:37.406606,1078,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.406652,1078,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.406712,1078,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.406774,1078,52.94.235.50,443,1.0,2,1,1,,1,not_relevant
2018-11-05 21:50:37.406842,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:50:37.413248,74,54.239.26.255,443,1.0,-1833918220,0,1,,1,retransmit
2018-11-05 21:50:37.456736,1078,52.94.235.50,443,1.0,49,1,1,,1,not_relevant
2018-11-05 21:50:37.457126,653,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.457165,54,54.239.26.255,443,1.0,43,1,1,,1,ack
2018-11-05 21:50:37.458234,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-05 21:50:37.487488,1078,52.94.235.50,443,1.0,30,1,1,,1,not_relevant
2018-11-05 21:50:37.487581,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:50:37.487616,1078,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-05 21:50:37.501979,1078,52.94.235.50,443,1.0,14,1,1,,1,not_relevant
2018-11-05 21:50:37.502486,972,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.502587,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-05 21:50:37.509360,54,54.239.26.255,443,1.0,52,1,1,,1,ack
2018-11-05 21:50:37.509604,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-05 21:50:37.535636,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.537609,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.551469,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.582669,54,52.94.235.50,443,1.0,80,1,1,,1,ack
2018-11-05 21:50:37.582847,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-05 21:50:37.588789,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.600778,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.601208,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.621196,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.636061,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-05 21:50:37.651945,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-05 21:50:37.652141,54,54.239.26.255,443,1.0,142,1,1,,1,ack
2018-11-05 21:50:37.663141,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
