date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-05 20:08:12.807207,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-05 20:08:25.021930,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.027157,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.029730,1514,52.94.227.146,443,1.0,-1820483977,1,1,,1,not_relevant
2018-11-05 20:08:25.029807,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:08:25.029846,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.029881,695,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.043631,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.044527,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.045887,1514,52.94.227.146,443,1.0,16,1,1,,1,not_relevant
2018-11-05 20:08:25.063387,1514,52.94.227.146,443,1.0,17,1,1,,1,not_relevant
2018-11-05 20:08:25.064748,574,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.089003,74,52.94.232.195,443,1.0,-1820273859,0,1,,1,retransmit
2018-11-05 20:08:25.128955,54,52.94.232.195,443,1.0,39,1,1,,1,ack
2018-11-05 20:08:25.131023,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-05 20:08:25.154351,1514,52.94.227.146,443,1.0,90,1,1,,1,not_relevant
2018-11-05 20:08:25.155374,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-11-05 20:08:25.156860,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-11-05 20:08:25.156900,252,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:08:25.175635,54,52.94.232.195,443,1.0,46,1,1,,1,ack
2018-11-05 20:08:25.175867,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-05 20:08:25.176906,54,52.94.232.195,443,1.0,1,1,1,,1,ack
2018-11-05 20:08:25.177026,54,52.94.232.195,443,1.0,0,1,1,,1,ack
