date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-05 20:40:27.310152,66,13.35.87.104,80,1.0,2735517011,1,1,,1,ack
2018-11-05 20:40:27.317060,74,13.35.87.104,80,1.0,2735527418,0,1,,1,retransmit
2018-11-05 20:40:27.363589,66,13.35.87.104,80,1.0,46,1,1,,1,ack
2018-11-05 20:40:27.364018,256,13.35.87.104,80,3.0,0,1,1,,1,not_relevant
2018-11-05 20:40:27.436630,66,13.35.87.104,80,1.0,73,1,1,,1,ack
2018-11-05 20:40:27.440003,54,52.216.228.72,80,1.0,2735064048,1,1,,1,ack
2018-11-05 20:40:27.482003,74,52.216.101.67,80,1.0,2735222144,0,1,,1,retransmit
2018-11-05 20:40:27.528688,54,52.216.101.67,80,1.0,46,1,1,,1,ack
2018-11-05 20:40:27.530226,200,52.216.101.67,80,3.0,0,1,1,,1,not_relevant
2018-11-05 20:40:27.568612,66,13.35.87.104,80,1.0,258,1,1,,1,ack
2018-11-05 20:40:27.574291,54,52.216.101.67,80,1.0,45,1,1,,1,ack
2018-11-05 20:40:27.574459,54,52.216.101.67,80,1.0,0,1,1,,1,ack
2018-11-05 20:40:27.602474,66,52.216.101.67,80,1.0,28,1,1,,1,ack
2018-11-05 20:40:27.688513,54,52.216.228.72,80,1.0,248,1,1,,1,ack
2018-11-05 20:40:27.805748,66,13.35.87.104,80,1.0,237,1,1,,1,ack
2018-11-05 20:40:27.937326,54,52.216.228.72,80,1.0,248,1,1,,1,ack
2018-11-05 20:40:28.309528,66,13.35.87.104,80,1.0,503,1,1,,1,ack
2018-11-05 20:40:28.437637,54,52.216.228.72,80,1.0,500,1,1,,1,ack
2018-11-05 20:40:29.307933,66,13.35.87.104,80,1.0,998,1,1,,1,ack
2018-11-05 20:40:29.437549,54,52.216.228.72,80,1.0,999,1,1,,1,ack
2018-11-05 20:40:29.950010,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-05 20:40:30.027420,54,52.94.227.146,443,1.0,2735564201,1,1,,1,ack
2018-11-05 20:40:31.307931,66,13.35.87.104,80,1.0,1999,1,1,,1,ack
2018-11-05 20:40:31.437504,54,52.216.228.72,80,1.0,1999,1,1,,1,ack
2018-11-05 20:40:35.320606,66,13.35.87.104,80,1.0,4012,1,1,,1,ack
2018-11-05 20:40:35.448261,54,52.216.228.72,80,1.0,4010,1,1,,1,ack
2018-11-05 20:40:37.646095,74,72.21.214.79,80,1.0,2735568065,0,1,,1,retransmit
2018-11-05 20:40:37.685468,54,72.21.214.79,80,1.0,39,1,1,,1,ack
2018-11-05 20:40:37.685902,211,72.21.214.79,80,3.0,0,1,1,,1,not_relevant
2018-11-05 20:40:37.732297,54,72.21.214.79,80,1.0,46,1,1,,1,ack
2018-11-05 20:40:39.260198,97,52.85.117.144,443,3.0,0,1,1,21,1,handshake
2018-11-05 20:40:39.260449,66,52.85.117.144,443,1.0,2735569489,1,1,,1,ack
2018-11-05 20:40:42.811639,54,52.94.227.146,443,1.0,12784,1,1,,1,ack
2018-11-05 20:40:42.812486,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-05 20:40:43.425191,66,13.35.87.104,80,1.0,8104,1,1,,1,ack
2018-11-05 20:40:43.467690,54,52.216.228.72,80,1.0,8019,1,1,,1,ack
2018-11-05 20:40:50.617440,54,52.216.101.67,80,1.0,23014,1,1,,1,ack
2018-11-05 20:40:59.388097,66,13.35.87.104,80,1.0,15962,1,1,,1,ack
2018-11-05 20:40:59.507563,54,52.216.228.72,80,1.0,16039,1,1,,1,ack
2018-11-05 20:41:12.810073,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-05 20:41:13.598534,289,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.601161,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.601269,1514,52.94.227.146,443,1.0,30789,1,1,,1,not_relevant
2018-11-05 20:41:13.601335,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:41:13.601354,234,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.601388,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.601532,180,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.601835,176,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.615754,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.641155,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.642203,1514,52.94.227.146,443,1.0,40,1,1,,1,not_relevant
2018-11-05 20:41:13.643695,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-11-05 20:41:13.643717,311,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:41:13.659672,74,54.239.26.255,443,1.0,2735603872,0,1,,1,retransmit
2018-11-05 20:41:13.706059,54,54.239.26.255,443,1.0,46,1,1,,1,ack
2018-11-05 20:41:13.710446,1514,52.94.227.146,443,1.0,66,1,1,,1,not_relevant
2018-11-05 20:41:13.710510,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
