date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 04:20:42.592049,295,52.94.232.230,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:42.655555,54,52.94.232.230,443,1.0,31770355,1,1,,1,ack
2018-11-27 04:20:46.415945,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.417573,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.429019,1514,52.94.227.146,443,1.0,32032765,1,1,,1,not_relevant
2018-11-27 04:20:46.429074,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:20:46.429142,759,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.430289,132,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.430586,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.431993,535,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.433727,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.460078,1514,52.94.227.146,443,1.0,31,1,1,,1,not_relevant
2018-11-27 04:20:46.461694,1514,52.94.227.146,443,1.0,1,1,1,,1,not_relevant
2018-11-27 04:20:46.464765,74,54.239.26.255,443,1.0,32030638,0,1,,1,retransmit
2018-11-27 04:20:46.473552,837,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.510758,1514,52.94.227.146,443,1.0,49,1,1,,1,not_relevant
2018-11-27 04:20:46.511032,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:20:46.511319,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:20:46.511341,54,54.239.26.255,443,1.0,46,1,1,,1,ack
2018-11-27 04:20:46.512020,332,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.512038,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 04:20:46.522858,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.537368,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.557753,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.561032,54,54.239.26.255,443,1.0,49,1,1,,1,ack
2018-11-27 04:20:46.563761,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-27 04:20:46.586134,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.599751,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.607991,54,52.94.227.146,443,1.0,96,1,1,,1,ack
2018-11-27 04:20:46.620919,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.635150,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.650199,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.669707,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.683842,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.697851,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.701168,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 04:20:46.701283,54,54.239.26.255,443,1.0,140,1,1,,1,ack
2018-11-27 04:20:46.711657,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.743894,54,54.239.26.255,443,1.0,42,1,1,,1,ack
2018-11-27 04:20:46.746638,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.760608,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.781454,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.795524,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.823687,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.849862,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.858663,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.872617,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.907608,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.921511,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.930459,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.931101,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.932580,1514,52.94.227.146,443,1.0,324,1,1,,1,not_relevant
2018-11-27 04:20:46.933145,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:20:46.933165,462,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.933179,136,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.933575,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.936294,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.960056,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:46.990430,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.006372,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.019897,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.033364,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.068916,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.073571,54,52.94.227.146,443,1.0,140,1,1,,1,ack
2018-11-27 04:20:47.083178,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.096705,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.117963,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.145314,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.158946,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.179994,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.193851,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.229298,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.242851,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.256886,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.277520,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.305864,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.319691,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.340494,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:20:47.354861,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
