date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-26 21:56:35.497920,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-26 21:56:37.712805,295,52.119.196.87,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:37.759091,54,52.119.196.87,443,1.0,-456963480,1,1,,1,ack
2018-11-26 21:56:38.530095,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.530267,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.530635,1514,52.94.235.50,443,1.0,-456762908,1,1,,1,not_relevant
2018-11-26 21:56:38.530656,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:56:38.530722,122,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.535551,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.535939,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.573005,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.574180,1514,52.94.235.50,443,1.0,43,1,1,,1,not_relevant
2018-11-26 21:56:38.574518,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:56:38.574795,769,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.580756,74,52.94.232.195,443,1.0,-456773677,0,1,,1,retransmit
2018-11-26 21:56:38.588001,1514,52.94.235.50,443,1.0,13,1,1,,1,not_relevant
2018-11-26 21:56:38.589595,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-26 21:56:38.589656,1072,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.629384,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.629511,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.632127,54,52.94.232.195,443,1.0,51,1,1,,1,ack
2018-11-26 21:56:38.633418,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 21:56:38.649115,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.663412,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.677153,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.679905,54,52.94.232.195,443,1.0,47,1,1,,1,ack
2018-11-26 21:56:38.680252,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-26 21:56:38.700759,54,52.94.235.50,443,1.0,111,1,1,,1,ack
2018-11-26 21:56:38.712222,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.726353,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.740417,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.760976,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.779134,765,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.789476,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.810102,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.824110,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.828373,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-26 21:56:38.828587,54,52.94.232.195,443,1.0,148,1,1,,1,ack
2018-11-26 21:56:38.838109,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.871690,54,52.94.232.195,443,1.0,43,1,1,,1,ack
2018-11-26 21:56:38.872957,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.886949,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.901388,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:56:38.922301,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
