date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-12-02 04:53:01.798781,295,205.251.243.55,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:01.839641,54,205.251.243.55,443,1.0,550410806,1,1,,1,ack
2018-12-02 04:53:07.052671,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.053056,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.059780,1514,52.94.229.122,443,1.0,550380876,1,1,,1,not_relevant
2018-12-02 04:53:07.060213,1150,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.060376,132,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.061873,180,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.094783,74,52.94.232.195,443,1.0,550378188,0,1,,1,retransmit
2018-12-02 04:53:07.100998,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.102400,1514,52.94.229.122,443,1.0,42,1,1,,1,not_relevant
2018-12-02 04:53:07.104906,1514,52.94.229.122,443,1.0,2,1,1,,1,not_relevant
2018-12-02 04:53:07.105248,228,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.138127,54,52.94.232.195,443,1.0,43,1,1,,1,ack
2018-12-02 04:53:07.140356,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-12-02 04:53:07.157993,1514,52.94.229.122,443,1.0,53,1,1,,1,not_relevant
2018-12-02 04:53:07.158045,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:53:07.158113,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:53:07.158171,252,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.167724,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.188510,54,52.94.232.195,443,1.0,50,1,1,,1,ack
2018-12-02 04:53:07.188971,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-12-02 04:53:07.201773,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.215927,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.220971,54,52.94.229.122,443,1.0,62,1,1,,1,ack
2018-12-02 04:53:07.237668,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.251082,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.276724,767,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.279551,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.299871,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.313796,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.328479,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.329128,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-12-02 04:53:07.329229,54,52.94.232.195,443,1.0,140,1,1,,1,ack
2018-12-02 04:53:07.393382,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.393550,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.393651,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.394495,54,52.94.232.195,443,1.0,65,1,1,,1,ack
2018-12-02 04:53:07.412061,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.439786,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.460770,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.475088,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.489079,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.524111,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.537993,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.551900,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.561782,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.562538,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.564042,1514,52.94.229.122,443,1.0,343,1,1,,1,not_relevant
2018-12-02 04:53:07.564362,853,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.564393,136,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.592896,210,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.600888,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.615007,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.636367,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.650763,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.677928,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.699146,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.702073,54,52.94.229.122,443,1.0,138,1,1,,1,ack
2018-12-02 04:53:07.713799,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.727293,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.762389,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.776119,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.798337,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.811170,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.840618,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.859793,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.873820,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.888248,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:53:07.922931,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
