date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-24 20:04:04.257231,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-24 20:04:10.904789,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.905169,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.910099,1514,52.94.229.122,443,1.0,-189425188,1,1,,1,not_relevant
2018-11-24 20:04:10.910170,1151,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.912002,132,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.913216,180,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.915120,136,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.920939,285,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.943848,74,54.239.29.0,443,1.0,-189227141,0,1,,1,retransmit
2018-11-24 20:04:10.944710,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.946189,1514,52.94.229.122,443,1.0,36,1,1,,1,not_relevant
2018-11-24 20:04:10.954681,1365,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:10.989681,54,54.239.29.0,443,1.0,45,1,1,,1,ack
2018-11-24 20:04:10.991121,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-24 20:04:11.028596,1514,52.94.229.122,443,1.0,82,1,1,,1,not_relevant
2018-11-24 20:04:11.028682,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-24 20:04:11.028756,1392,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.037428,54,54.239.29.0,443,1.0,47,1,1,,1,ack
2018-11-24 20:04:11.037951,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-24 20:04:11.040037,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.054095,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.076028,54,52.94.229.122,443,1.0,47,1,1,,1,ack
2018-11-24 20:04:11.093908,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.103256,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.117502,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.133740,766,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.138824,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.235058,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.235398,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.235572,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.235654,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.236929,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-24 20:04:11.237109,54,54.239.29.0,443,1.0,199,1,1,,1,ack
2018-11-24 20:04:11.249547,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.263460,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.277651,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.331628,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.373055,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.373199,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.373277,54,54.239.29.0,443,1.0,136,1,1,,1,ack
2018-11-24 20:04:11.373356,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.374048,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-24 20:04:11.375472,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.404290,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.404914,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.406367,1514,52.94.229.122,443,1.0,330,1,1,,1,not_relevant
2018-11-24 20:04:11.406601,854,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.406759,136,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.407362,92,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.411150,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.427774,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.473341,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.478388,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.498357,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.508960,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.522478,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.526461,54,52.94.229.122,443,1.0,120,1,1,,1,ack
2018-11-24 20:04:11.536779,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.564610,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.613260,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.613442,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.617147,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.651576,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.686509,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.687152,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.700888,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.737217,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.839812,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.859996,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.903482,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.904000,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.905257,644,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.925693,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.936595,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.970967,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.984734,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:11.998448,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:12.012995,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:12.047666,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-24 20:04:12.062361,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
