date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-25 19:59:31.033213,54,54.231.81.72,80,1.0,1724830618,1,1,,1,ack
2018-11-25 19:59:36.703534,66,99.84.170.140,80,1.0,1725104501,1,1,,1,ack
2018-11-25 19:59:38.103559,54,52.216.16.216,80,1.0,1725103221,1,1,,1,ack
2018-11-25 19:59:39.029409,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.039506,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.042117,1514,52.94.229.122,443,1.0,1725103932,1,1,,1,not_relevant
2018-11-25 19:59:39.042150,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:59:39.042166,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.042181,1086,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.068717,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.069036,1514,52.94.229.122,443,1.0,26,1,1,,1,not_relevant
2018-11-25 19:59:39.081604,1514,52.94.229.122,443,1.0,12,1,1,,1,not_relevant
2018-11-25 19:59:39.087174,1166,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.120834,1514,52.94.229.122,443,1.0,39,1,1,,1,not_relevant
2018-11-25 19:59:39.120879,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:59:39.120912,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:59:39.120942,412,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.158136,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.158292,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.181070,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.194353,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.208916,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.229132,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.252052,74,52.94.232.195,443,1.0,1725104365,0,1,,1,retransmit
2018-11-25 19:59:39.256989,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.269967,54,52.94.229.122,443,1.0,149,1,1,,1,ack
2018-11-25 19:59:39.273186,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.289666,54,52.94.232.195,443,1.0,37,1,1,,1,ack
2018-11-25 19:59:39.292237,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.293582,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-25 19:59:39.305943,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.334866,54,52.94.232.195,443,1.0,45,1,1,,1,ack
2018-11-25 19:59:39.335232,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-25 19:59:39.341022,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.355126,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.368965,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.382549,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.417221,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.421220,767,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.431266,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:59:39.451861,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
