date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 19:06:42.304991,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-26 19:06:49.257653,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.258322,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.260209,1514,52.94.229.122,443,1.0,-29752447,1,1,,1,not_relevant
2018-11-26 19:06:49.260257,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:06:49.260290,854,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.260318,132,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.261167,180,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.263382,192,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.377574,1514,52.94.229.122,443,1.0,117,1,1,,1,not_relevant
2018-11-26 19:06:49.377598,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:06:49.377841,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:06:49.377862,652,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.377877,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.377891,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.378338,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:06:49.379802,1514,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-26 19:06:49.379826,929,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.382593,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.395774,136,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.396363,92,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.416582,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.431461,74,52.94.232.195,443,1.0,-29583157,0,1,,1,retransmit
2018-11-26 19:06:49.473463,54,52.94.232.195,443,1.0,42,1,1,,1,ack
2018-11-26 19:06:49.490339,280,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 19:06:49.490579,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.491844,290,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.493895,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.507275,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.517401,54,52.94.229.122,443,1.0,137,1,1,,1,ack
2018-11-26 19:06:49.528354,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.532022,54,52.94.232.195,443,1.0,58,1,1,,1,ack
2018-11-26 19:06:49.532609,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-26 19:06:49.532696,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-26 19:06:49.533186,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-26 19:06:49.542941,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.567788,66,52.94.232.195,443,1.0,34,1,1,,1,ack
2018-11-26 19:06:49.570184,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.591995,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.610473,180,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 19:06:49.620572,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.621131,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.651263,54,52.94.232.195,443,1.0,83,1,1,,1,ack
2018-11-26 19:06:49.652057,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.654496,765,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.666177,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.687273,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.700936,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.707503,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-26 19:06:49.707656,54,52.94.232.195,443,1.0,56,1,1,,1,ack
2018-11-26 19:06:49.736265,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:06:49.748764,54,52.94.232.195,443,1.0,41,1,1,,1,ack
