date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-05 04:47:25.371634,54,52.216.161.235,80,1.0,-4459792528,1,1,,1,ack
2018-10-05 04:47:28.265102,66,13.33.164.63,80,1.0,-4459583466,1,1,,1,ack
2018-10-05 04:47:29.688182,54,52.216.161.235,80,1.0,4316,1,1,,1,ack
2018-10-05 04:47:33.392449,54,52.94.235.50,443,1.0,-4459581042,1,1,,1,ack
2018-10-05 04:47:33.393695,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-10-05 04:47:35.638362,66,13.33.164.63,80,1.0,7373,1,1,,1,ack
2018-10-05 04:47:38.335093,54,52.216.161.235,80,1.0,8646,1,1,,1,ack
2018-10-05 04:47:44.404552,54,52.216.133.123,80,1.0,-4459570598,1,1,,1,ack
2018-10-05 04:47:45.488067,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.488293,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.488656,1514,52.94.235.50,443,1.0,12096,1,1,,1,not_relevant
2018-10-05 04:47:45.488847,1241,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.488871,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.489027,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.489236,144,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.516188,643,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.526776,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.527107,1514,52.94.235.50,443,1.0,38,1,1,,1,not_relevant
2018-10-05 04:47:45.532731,1455,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.534300,1514,52.94.235.50,443,1.0,7,1,1,,1,not_relevant
2018-10-05 04:47:45.550767,74,52.94.232.195,443,1.0,-4459569704,0,1,,1,retransmit
2018-10-05 04:47:45.568426,1514,52.94.235.50,443,1.0,34,1,1,,1,not_relevant
2018-10-05 04:47:45.568461,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-05 04:47:45.568478,1072,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.589280,54,52.94.232.195,443,1.0,38,1,1,,1,ack
2018-10-05 04:47:45.590520,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:47:45.600715,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.617372,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.629232,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.641316,54,52.94.232.195,443,1.0,52,1,1,,1,ack
2018-10-05 04:47:45.641438,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-05 04:47:45.673183,54,52.94.232.195,443,1.0,31,1,1,,1,ack
2018-10-05 04:47:45.673370,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.673451,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-05 04:47:45.676340,54,52.94.235.50,443,1.0,107,1,1,,1,ack
2018-10-05 04:47:45.678495,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.694527,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.702201,180,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:47:45.711632,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.725557,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.743492,769,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.760228,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.774451,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.787362,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-10-05 04:47:45.787532,54,52.94.232.195,443,1.0,114,1,1,,1,ack
2018-10-05 04:47:45.790359,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.802351,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.826048,54,52.94.232.195,443,1.0,38,1,1,,1,ack
2018-10-05 04:47:45.837589,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:47:45.851576,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
