date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-15 19:53:13.495138,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-10-15 19:53:29.974483,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:29.975094,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:29.975194,1514,52.94.235.50,443,1.0,-1819957036,1,1,,1,not_relevant
2018-10-15 19:53:29.975225,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:29.975267,1430,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:29.985506,285,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:29.986807,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:29.988042,1514,52.94.235.50,443,1.0,12,1,1,,1,not_relevant
2018-10-15 19:53:30.021506,74,54.239.29.0,443,1.0,-1819952677,0,1,,1,retransmit
2018-10-15 19:53:30.022966,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.025341,1514,52.94.235.50,443,1.0,37,1,1,,1,not_relevant
2018-10-15 19:53:30.025417,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:53:30.025451,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:53:30.025484,1107,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.050825,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.065002,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.065165,54,54.239.29.0,443,1.0,43,1,1,,1,ack
2018-10-15 19:53:30.066570,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-10-15 19:53:30.078412,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.092439,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.113517,54,54.239.29.0,443,1.0,48,1,1,,1,ack
2018-10-15 19:53:30.114313,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-10-15 19:53:30.140316,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.141841,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.143323,54,52.94.235.50,443,1.0,117,1,1,,1,ack
2018-10-15 19:53:30.161998,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.176297,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.215612,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.215915,765,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.224775,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.238913,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.252699,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.266009,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-10-15 19:53:30.266295,54,54.239.29.0,443,1.0,152,1,1,,1,ack
2018-10-15 19:53:30.299464,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.301479,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.308090,54,54.239.29.0,443,1.0,41,1,1,,1,ack
2018-10-15 19:53:30.322542,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.337070,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.371957,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.385729,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.399489,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.413953,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.461066,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.463018,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.487764,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.489600,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.489670,1514,52.94.235.50,443,1.0,346,1,1,,1,not_relevant
2018-10-15 19:53:30.489691,1344,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.497809,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.529839,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.546846,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.560516,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.576453,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.615244,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.625292,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.640606,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.661820,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.717338,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.717496,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.721846,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.735823,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.770921,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.784605,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.798422,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.812436,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.859724,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.861347,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.883457,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.897414,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.929900,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.945474,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.959802,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:30.973640,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.013751,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.022980,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.036567,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.057735,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.085678,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.106817,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.120940,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.135308,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.170304,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.183626,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.198135,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.218589,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.252035,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.262036,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.282497,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.296578,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.331196,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.351562,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.359301,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.374838,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.422847,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.423078,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.442833,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.456565,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.489885,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.505668,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.519364,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.533709,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.570076,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.582492,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.596569,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.618082,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.649887,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.667544,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.681840,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.695756,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.730063,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.743514,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.757663,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.771677,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.818426,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.820645,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.841414,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.855760,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.891142,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.904690,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.918819,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.932688,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.969872,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:31.981676,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.002537,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.016522,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.050685,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.065536,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.079425,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.123620,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.128635,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.149709,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.162464,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.177898,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.216422,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.226757,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.239697,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.253931,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.295373,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.302556,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.317452,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.338455,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.370047,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.386762,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.401445,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.415396,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.451386,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.465269,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.479180,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.499720,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.529928,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.540684,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.561753,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.576432,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.616074,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.625077,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.639209,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.652803,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.700016,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.701632,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.722469,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.740682,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.770170,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.785890,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.822787,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.822999,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.849928,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.862717,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.877422,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.898376,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.930076,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.947001,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.960428,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:32.975768,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.010117,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.023678,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.037895,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.060051,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.095331,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.100609,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.122552,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.136519,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.175305,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.185201,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.198463,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.212443,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.250287,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.255416,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.255598,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.289161,74,54.239.29.0,443,1.0,-1819740599,0,1,,1,retransmit
2018-10-15 19:53:33.303225,54,52.94.235.50,443,1.0,2813,1,1,,1,ack
2018-10-15 19:53:33.338741,54,54.239.29.0,443,1.0,49,1,1,,1,ack
2018-10-15 19:53:33.339868,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-10-15 19:53:33.421996,54,54.239.29.0,443,1.0,83,1,1,,1,ack
2018-10-15 19:53:33.422270,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-10-15 19:53:33.666667,815,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.828108,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.828246,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.828560,1514,52.94.235.50,443,1.0,525,1,1,,1,not_relevant
2018-10-15 19:53:33.828576,851,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.828591,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.828662,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:33.916276,866,54.239.29.0,443,1.0,494,1,1,,1,not_relevant
2018-10-15 19:53:33.923054,92,52.94.235.50,443,1.0,94,1,1,,1,not_relevant
2018-10-15 19:53:34.176526,423,52.94.235.50,443,1.0,253,1,1,,1,not_relevant
2018-10-15 19:53:34.224468,54,52.94.235.50,443,1.0,47,1,1,,1,ack
2018-10-15 19:53:34.224807,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:34.225155,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:34.225316,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:34.225466,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:34.225610,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:34.225738,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:34.225900,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:36.055606,66,52.94.235.50,443,1.0,1829,1,1,,1,ack
2018-10-15 19:53:36.056192,66,54.239.29.0,443,1.0,2139,1,1,,1,ack
2018-10-15 19:53:36.056344,66,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:36.056580,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-10-15 19:53:36.056710,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:36.143263,54,54.239.29.0,443,1.0,86,1,1,,1,ack
2018-10-15 19:53:36.333689,54,54.239.29.0,443,1.0,190,1,1,,1,ack
2018-10-15 19:53:38.144575,66,52.94.235.50,443,1.0,2088,1,1,,1,ack
2018-10-15 19:53:38.193309,74,52.94.235.50,443,1.0,48,1,1,,1,ack
2018-10-15 19:53:38.193565,74,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.230835,74,52.94.235.50,443,1.0,37,1,1,,1,ack
2018-10-15 19:53:38.231135,74,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.241943,74,52.94.235.50,443,1.0,10,1,1,,1,ack
2018-10-15 19:53:38.242266,74,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.274611,74,52.94.235.50,443,1.0,32,1,1,,1,ack
2018-10-15 19:53:38.274933,74,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.275090,74,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.275220,66,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.293285,54,52.94.235.50,443,1.0,18,1,1,,1,ack
2018-10-15 19:53:38.293568,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.293796,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.424524,54,52.94.235.50,443,1.0,130,1,1,,1,ack
2018-10-15 19:53:38.424803,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.424981,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.425112,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.425238,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.431466,54,52.94.235.50,443,1.0,6,1,1,,1,ack
2018-10-15 19:53:38.431687,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.545250,74,54.239.29.0,443,1.0,-1819739726,0,1,,1,retransmit
2018-10-15 19:53:38.545537,54,52.94.235.50,443,1.0,113,1,1,,1,ack
2018-10-15 19:53:38.545717,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.545895,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.546046,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.546189,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.546345,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.546489,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.551829,96,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:38.671525,54,52.94.235.50,443,1.0,125,1,1,,1,ack
2018-10-15 19:53:38.673617,54,52.94.235.50,443,1.0,2,1,1,,1,ack
2018-10-15 19:53:38.674070,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-15 19:53:38.674550,54,54.239.29.0,443,1.0,129,1,1,,1,ack
2018-10-15 19:53:38.676796,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-10-15 19:53:38.690109,74,54.239.29.0,443,1.0,-1819740092,0,1,,1,retransmit
2018-10-15 19:53:38.713210,54,52.94.235.50,443,1.0,39,1,1,,1,ack
2018-10-15 19:53:38.724475,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:38.724704,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:38.725149,1514,52.94.235.50,443,1.0,11,1,1,,1,not_relevant
2018-10-15 19:53:38.725173,54,54.239.29.0,443,1.0,50,1,1,,1,ack
2018-10-15 19:53:38.725545,991,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:38.725699,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-10-15 19:53:38.725831,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-15 19:53:38.727869,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
