date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 00:37:30.020056,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 00:37:57.732503,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.732795,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.748311,1514,52.94.235.50,443,1.0,102639847,1,1,,1,not_relevant
2018-11-27 00:37:57.748356,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:37:57.748387,724,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.775201,74,54.239.26.255,443,1.0,102845177,0,1,,1,retransmit
2018-11-27 00:37:57.775610,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.781647,380,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.787607,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.794988,1514,52.94.235.50,443,1.0,46,1,1,,1,not_relevant
2018-11-27 00:37:57.795249,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:37:57.796653,1172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.815847,54,54.239.26.255,443,1.0,40,1,1,,1,ack
2018-11-27 00:37:57.819618,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 00:37:57.866501,54,54.239.26.255,443,1.0,50,1,1,,1,ack
2018-11-27 00:37:57.866704,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-27 00:37:57.866781,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-27 00:37:57.868788,54,54.239.26.255,443,1.0,2,1,1,,1,ack
2018-11-27 00:37:57.887293,66,54.239.26.255,443,1.0,18,1,1,,1,ack
2018-11-27 00:37:57.895760,1514,52.94.235.50,443,1.0,100,1,1,,1,not_relevant
2018-11-27 00:37:57.897490,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 00:37:57.897513,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:37:57.897530,412,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.914328,54,52.94.235.50,443,1.0,16,1,1,,1,ack
2018-11-27 00:37:57.929790,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.943036,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.951288,180,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 00:37:57.966176,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.978467,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:57.991647,54,54.239.26.255,443,1.0,104,1,1,,1,ack
2018-11-27 00:37:57.993996,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.006566,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.027986,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.041567,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.045051,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 00:37:58.045238,54,54.239.26.255,443,1.0,53,1,1,,1,ack
2018-11-27 00:37:58.055462,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.085417,54,54.239.26.255,443,1.0,40,1,1,,1,ack
2018-11-27 00:37:58.090780,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.104730,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.118741,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.142072,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.167020,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.210233,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.210397,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.216467,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.235206,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.235651,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.249391,1514,52.94.235.50,443,1.0,335,1,1,,1,not_relevant
2018-11-27 00:37:58.250089,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 00:37:58.255425,665,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.274843,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.279728,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.300058,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.328576,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.342261,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.363004,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.377425,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.396630,54,52.94.235.50,443,1.0,146,1,1,,1,ack
2018-11-27 00:37:58.412158,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.426215,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.440379,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.454224,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.489387,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.503398,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.524209,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.538295,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.567079,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.588306,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.602233,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.616749,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.650168,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.664248,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.678804,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.699376,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.727031,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.748217,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.762149,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.776196,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.811476,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.825134,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.839267,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.860626,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.910218,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.910358,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.923318,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.937255,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.972116,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:58.986961,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.000331,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.014037,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.049785,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.063239,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.084290,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.098874,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.126283,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.147399,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.161455,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.175543,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.210095,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.224411,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.238391,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.259242,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 00:37:59.292534,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
