date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-05 05:16:30.779527,54,52.94.227.146,443,1.0,-4543751520,1,1,,1,ack
2018-10-05 05:16:30.780324,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-05 05:16:39.695583,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.695749,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.703605,1514,52.94.227.146,443,1.0,8924,1,1,,1,not_relevant
2018-10-05 05:16:39.703631,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.703649,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.703683,225,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.735895,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.736219,1514,52.94.227.146,443,1.0,32,1,1,,1,not_relevant
2018-10-05 05:16:39.742723,1514,52.94.227.146,443,1.0,6,1,1,,1,not_relevant
2018-10-05 05:16:39.748009,74,54.239.26.255,443,1.0,-4543536047,0,1,,1,retransmit
2018-10-05 05:16:39.748302,402,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.791908,54,54.239.26.255,443,1.0,43,1,1,,1,ack
2018-10-05 05:16:39.795414,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-05 05:16:39.845586,1514,52.94.227.146,443,1.0,102,1,1,,1,not_relevant
2018-10-05 05:16:39.845608,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-05 05:16:39.845626,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-05 05:16:39.845660,92,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.846476,54,54.239.26.255,443,1.0,54,1,1,,1,ack
2018-10-05 05:16:39.846650,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-05 05:16:39.847509,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-10-05 05:16:39.856780,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.863948,54,52.94.227.146,443,1.0,18,1,1,,1,ack
2018-10-05 05:16:39.877719,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.891885,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.925297,768,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.927896,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.939845,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.954610,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.968297,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:39.980528,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-10-05 05:16:39.980742,54,54.239.26.255,443,1.0,134,1,1,,1,ack
2018-10-05 05:16:40.002699,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.016864,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.027113,54,54.239.26.255,443,1.0,46,1,1,,1,ack
2018-10-05 05:16:40.038380,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.051813,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.079925,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.101424,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.114861,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.128928,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.164532,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.178037,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.191859,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.215402,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.226951,288,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.227690,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.227735,1514,52.94.227.146,443,1.0,363,1,1,,1,not_relevant
2018-10-05 05:16:40.229509,1374,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.241008,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.284764,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.284991,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.290545,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.326303,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-05 05:16:40.339864,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
