date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 19:19:23.993575,54,176.32.98.203,80,1.0,-8636862,1,1,,1,ack
2018-11-26 19:19:28.311727,66,99.84.170.80,80,1.0,-8637822,1,1,,1,ack
2018-11-26 19:19:29.748476,54,54.231.40.139,80,1.0,-8768142,1,1,,1,ack
2018-11-26 19:19:36.881211,54,52.216.18.248,80,1.0,-8600962,1,1,,1,ack
2018-11-26 19:19:42.300306,54,52.94.229.122,443,1.0,-8598218,1,1,,1,ack
2018-11-26 19:19:42.301409,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-26 19:19:43.051623,66,99.84.170.80,80,1.0,14739,1,1,,1,ack
2018-11-26 19:19:45.811683,54,54.231.40.139,80,1.0,16063,1,1,,1,ack
2018-11-26 19:19:48.765549,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.766056,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.766151,1514,52.94.229.122,443,1.0,6465,1,1,,1,not_relevant
2018-11-26 19:19:48.766183,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:19:48.766500,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.766547,1137,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.800361,74,52.94.232.195,443,1.0,-8592176,0,1,,1,retransmit
2018-11-26 19:19:48.834128,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.912074,1514,52.94.229.122,443,1.0,145,1,1,,1,not_relevant
2018-11-26 19:19:48.912566,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:19:48.912592,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.912612,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:19:48.912629,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:19:48.912648,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:19:48.912665,54,52.94.232.195,443,1.0,112,1,1,,1,ack
2018-11-26 19:19:48.912872,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 19:19:48.913017,1413,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.951707,290,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.961965,54,52.94.232.195,443,1.0,49,1,1,,1,ack
2018-11-26 19:19:48.962054,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-26 19:19:48.967953,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:48.985078,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.002041,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.048141,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.089202,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.089422,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.089508,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.090268,54,52.94.229.122,443,1.0,177,1,1,,1,ack
2018-11-26 19:19:49.109830,766,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.110800,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.124959,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.224380,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.224690,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.225064,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.225261,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.225374,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.226390,54,52.94.232.195,443,1.0,264,1,1,,1,ack
2018-11-26 19:19:49.236947,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.259515,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.259631,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.261164,1514,52.94.229.122,443,1.0,170,1,1,,1,not_relevant
2018-11-26 19:19:49.267796,1514,52.94.229.122,443,1.0,6,1,1,,1,not_relevant
2018-11-26 19:19:49.269173,674,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.277865,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.286260,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:19:49.308057,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
