date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-15 19:04:56.078224,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-10-15 19:05:03.855537,642,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.856218,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.856278,1514,52.94.227.146,443,1.0,-623474250,1,1,,1,not_relevant
2018-10-15 19:05:03.856314,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.856348,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:05:03.856379,154,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.857855,294,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.891347,74,54.239.26.255,443,1.0,-623221175,0,1,,1,retransmit
2018-10-15 19:05:03.908684,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.910402,1514,52.94.227.146,443,1.0,54,1,1,,1,not_relevant
2018-10-15 19:05:03.910446,1367,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.927198,1514,52.94.227.146,443,1.0,16,1,1,,1,not_relevant
2018-10-15 19:05:03.927253,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-10-15 19:05:03.927287,1392,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.932954,54,54.239.26.255,443,1.0,41,1,1,,1,ack
2018-10-15 19:05:03.934525,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-15 19:05:03.959435,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.972802,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:03.980211,54,54.239.26.255,443,1.0,47,1,1,,1,ack
2018-10-15 19:05:03.980369,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-15 19:05:03.982315,54,54.239.26.255,443,1.0,1,1,1,,1,ack
2018-10-15 19:05:03.982624,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-15 19:05:03.987816,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.006136,66,54.239.26.255,443,1.0,23,1,1,,1,ack
2018-10-15 19:05:04.007472,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.022118,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.025886,180,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-15 19:05:04.048343,54,52.94.227.146,443,1.0,121,1,1,,1,ack
2018-10-15 19:05:04.051310,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.069175,54,54.239.26.255,443,1.0,63,1,1,,1,ack
2018-10-15 19:05:04.070504,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.071602,768,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.084140,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.097970,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.122957,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-10-15 19:05:04.123188,54,54.239.26.255,443,1.0,54,1,1,,1,ack
2018-10-15 19:05:04.132808,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.146426,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.160517,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.164078,54,54.239.26.255,443,1.0,40,1,1,,1,ack
2018-10-15 19:05:04.181591,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.209918,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.223861,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.268236,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.268473,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.293444,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.307529,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.321347,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.343525,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.365567,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.377465,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.377635,1514,52.94.227.146,443,1.0,329,1,1,,1,not_relevant
2018-10-15 19:05:04.377723,1093,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.390558,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.404442,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.418645,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.453626,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.467692,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.482023,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.502855,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.530693,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.546010,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.550713,54,52.94.227.146,443,1.0,173,1,1,,1,ack
2018-10-15 19:05:04.565962,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.581412,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.609125,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.629737,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.643453,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.657544,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.692315,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.705636,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.726676,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.741047,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.768978,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.790254,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.804406,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.818679,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.852632,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.866297,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.880422,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.901539,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.929592,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.968130,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.969294,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:04.983771,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.013470,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.027501,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.041987,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.062387,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.096419,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.104655,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.125195,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.139372,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.174381,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.188358,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.202365,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.216586,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.250619,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.264565,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.286369,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.300365,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.328991,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.348965,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.363277,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.376393,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.411758,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.425253,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.446388,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.460998,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.489022,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.509584,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.524082,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.537774,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.573153,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.586871,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.601649,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.622144,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.674179,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.674531,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.684638,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.699285,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.733505,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-10-15 19:05:05.747358,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
