date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 19:11:42.302813,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-26 19:11:47.858346,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.867713,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.870111,1514,52.94.229.122,443,1.0,-17922274,1,1,,1,not_relevant
2018-11-26 19:11:47.870199,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:11:47.870276,929,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.870630,180,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.872249,184,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.873770,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.899542,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.901026,1514,52.94.229.122,443,1.0,30,1,1,,1,not_relevant
2018-11-26 19:11:47.919604,1514,52.94.229.122,443,1.0,18,1,1,,1,not_relevant
2018-11-26 19:11:47.920889,1066,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:47.927931,74,52.94.232.195,443,1.0,-18132088,0,1,,1,retransmit
2018-11-26 19:11:47.975890,54,52.94.232.195,443,1.0,47,1,1,,1,ack
2018-11-26 19:11:47.977478,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 19:11:47.993167,1514,52.94.229.122,443,1.0,73,1,1,,1,not_relevant
2018-11-26 19:11:47.993218,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:11:47.993287,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:11:47.993350,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.005849,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.022736,54,52.94.232.195,443,1.0,46,1,1,,1,ack
2018-11-26 19:11:48.023179,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-26 19:11:48.040571,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.056082,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.056384,54,52.94.229.122,443,1.0,63,1,1,,1,ack
2018-11-26 19:11:48.074789,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.088856,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.116874,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.118090,765,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.224090,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.224477,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.224666,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.224755,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.224833,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.225898,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-26 19:11:48.226088,54,52.94.232.195,443,1.0,203,1,1,,1,ack
2018-11-26 19:11:48.235494,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.333919,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.361406,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.361858,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.362011,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.362115,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.362205,54,52.94.232.195,443,1.0,136,1,1,,1,ack
2018-11-26 19:11:48.363338,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.363727,54,52.94.232.195,443,1.0,1,1,1,,1,ack
2018-11-26 19:11:48.371834,285,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.373153,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.377917,1514,52.94.229.122,443,1.0,321,1,1,,1,not_relevant
2018-11-26 19:11:48.378766,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:11:48.378790,554,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.378804,136,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.380018,210,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.390234,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.414557,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:11:48.459624,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
