date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-14 06:15:18.109514,54,52.216.165.203,80,1.0,-3763439376,1,1,,1,ack
2018-10-14 06:15:23.063550,66,13.32.81.20,80,1.0,-3763439966,1,1,,1,ack
2018-10-14 06:15:31.141240,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.141534,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.141842,1514,52.94.235.50,443,1.0,-3763246023,1,1,,1,not_relevant
2018-10-14 06:15:31.142035,1153,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.180620,74,54.239.26.255,443,1.0,-3763280575,0,1,,1,retransmit
2018-10-14 06:15:31.186717,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.188382,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.188944,1514,52.94.235.50,443,1.0,47,1,1,,1,not_relevant
2018-10-14 06:15:31.189261,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 06:15:31.190564,474,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.218499,54,54.239.26.255,443,1.0,37,1,1,,1,ack
2018-10-14 06:15:31.219544,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-14 06:15:31.264162,54,54.239.26.255,443,1.0,45,1,1,,1,ack
2018-10-14 06:15:31.265041,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-14 06:15:31.265695,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-14 06:15:31.266980,54,54.239.26.255,443,1.0,1,1,1,,1,ack
2018-10-14 06:15:31.281159,1514,52.94.235.50,443,1.0,91,1,1,,1,not_relevant
2018-10-14 06:15:31.281183,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 06:15:31.282566,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-10-14 06:15:31.282589,1372,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.300302,66,54.239.26.255,443,1.0,33,1,1,,1,ack
2018-10-14 06:15:31.307026,54,52.94.235.50,443,1.0,24,1,1,,1,ack
2018-10-14 06:15:31.311709,180,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-14 06:15:31.335632,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.336040,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.354053,54,54.239.26.255,443,1.0,53,1,1,,1,ack
2018-10-14 06:15:31.356175,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.358376,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.376376,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.412436,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.412627,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.414263,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-10-14 06:15:31.414686,54,54.239.26.255,443,1.0,60,1,1,,1,ack
2018-10-14 06:15:31.438520,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.452331,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.454553,54,54.239.26.255,443,1.0,39,1,1,,1,ack
2018-10-14 06:15:31.467676,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.504013,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.519010,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.539388,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.553653,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.576059,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.599615,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.613390,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.627409,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.641635,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.666700,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.667361,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.683627,1514,52.94.235.50,443,1.0,376,1,1,,1,not_relevant
2018-10-14 06:15:31.684382,1094,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.713529,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.735101,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.760380,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.774884,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.788496,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.806540,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.822493,54,52.94.235.50,443,1.0,138,1,1,,1,ack
2018-10-14 06:15:31.837604,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.851915,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.872311,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.904942,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.914469,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.935183,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.949285,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.975968,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:31.998349,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.012485,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.026792,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.055517,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.075554,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.111511,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.111651,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.135622,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.159206,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.173412,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.187725,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.201932,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.237362,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.250734,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.272348,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.301624,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.320569,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.335116,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.348224,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.362432,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.397291,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.411324,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.437431,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.463073,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.476259,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.495743,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.509888,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.535315,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:15:32.559013,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
