date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-14 06:08:40.781136,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-10-14 06:08:43.941358,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:43.942657,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:43.943517,1514,52.94.235.50,443,1.0,-4228819849,1,1,,1,not_relevant
2018-10-14 06:08:43.943539,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:43.943555,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 06:08:43.943573,154,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:43.955305,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.008815,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.010372,1514,52.94.235.50,443,1.0,66,1,1,,1,not_relevant
2018-10-14 06:08:44.011268,1366,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.011288,74,54.239.26.255,443,1.0,-4228673649,0,1,,1,retransmit
2018-10-14 06:08:44.035153,1514,52.94.235.50,443,1.0,24,1,1,,1,not_relevant
2018-10-14 06:08:44.035257,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 06:08:44.060218,1514,52.94.235.50,443,1.0,24,1,1,,1,not_relevant
2018-10-14 06:08:44.060625,690,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.065400,54,54.239.26.255,443,1.0,54,1,1,,1,ack
2018-10-14 06:08:44.067249,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-14 06:08:44.081440,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.096449,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.109360,54,54.239.26.255,443,1.0,43,1,1,,1,ack
2018-10-14 06:08:44.116888,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-10-14 06:08:44.117161,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.139028,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.139202,54,52.94.235.50,443,1.0,78,1,1,,1,ack
2018-10-14 06:08:44.158016,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.179236,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.193441,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:08:44.213213,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
