date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-05 04:22:19.610418,74,52.216.97.11,80,1.0,-4575412103,0,1,,1,retransmit
2018-10-05 04:22:19.651137,54,52.216.97.11,80,1.0,40,1,1,,1,ack
2018-10-05 04:22:19.660243,200,52.216.97.11,80,3.0,0,1,1,,1,not_relevant
2018-10-05 04:22:19.736962,54,52.216.97.11,80,1.0,85,1,1,,1,ack
2018-10-05 04:22:19.737165,54,52.216.97.11,80,1.0,0,1,1,,1,ack
2018-10-05 04:22:19.740746,66,52.216.97.11,80,1.0,3,1,1,,1,ack
2018-10-05 04:22:19.787870,74,13.33.164.32,80,1.0,-4575212542,0,1,,1,retransmit
2018-10-05 04:22:19.812458,66,13.33.164.32,80,1.0,24,1,1,,1,ack
2018-10-05 04:22:19.813061,256,13.33.164.32,80,3.0,0,1,1,,1,not_relevant
2018-10-05 04:22:19.843925,66,13.33.164.32,80,1.0,31,1,1,,1,ack
2018-10-05 04:22:19.850587,200,52.216.97.11,80,3.0,0,1,1,,1,not_relevant
2018-10-05 04:22:19.857607,74,52.94.232.230,443,1.0,-4575214895,0,1,,1,retransmit
2018-10-05 04:22:19.894396,54,52.216.97.11,80,1.0,153,1,1,,1,ack
2018-10-05 04:22:19.895012,54,52.216.97.11,80,1.0,0,1,1,,1,ack
2018-10-05 04:22:19.905783,54,52.94.232.230,443,1.0,48,1,1,,1,ack
2018-10-05 04:22:19.914037,230,52.94.232.230,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:19.920089,66,52.216.97.11,80,1.0,25,1,1,,1,ack
2018-10-05 04:22:19.972564,54,52.94.232.230,443,1.0,66,1,1,,1,ack
2018-10-05 04:22:19.973150,54,52.94.232.230,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:19.973663,54,52.94.232.230,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:19.974118,54,52.94.232.230,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:20.006119,66,52.94.232.230,443,1.0,32,1,1,,1,ack
2018-10-05 04:22:20.093305,74,52.94.235.50,443,1.0,-4575214929,0,1,,1,retransmit
2018-10-05 04:22:20.133099,54,52.94.235.50,443,1.0,39,1,1,,1,ack
2018-10-05 04:22:20.140427,223,52.94.235.50,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:20.153498,74,52.46.157.6,443,1.0,-4575215199,0,1,,1,retransmit
2018-10-05 04:22:20.186080,54,52.94.235.50,443,1.0,52,1,1,,1,ack
2018-10-05 04:22:20.186278,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:20.187420,54,52.94.235.50,443,1.0,1,1,1,,1,ack
2018-10-05 04:22:20.188249,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:20.192206,54,52.46.157.6,443,1.0,38,1,1,,1,ack
2018-10-05 04:22:20.194828,280,52.46.157.6,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:20.196705,260,52.94.232.230,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:20.214592,66,52.94.235.50,443,1.0,26,1,1,,1,ack
2018-10-05 04:22:20.231213,180,52.94.235.50,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:20.239613,54,52.46.157.6,443,1.0,47,1,1,,1,ack
2018-10-05 04:22:20.243564,54,52.46.157.6,443,1.0,3,1,1,,1,ack
2018-10-05 04:22:20.244015,54,52.46.157.6,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:20.260619,66,52.46.157.6,443,1.0,16,1,1,,1,ack
2018-10-05 04:22:20.261174,54,52.94.232.230,443,1.0,255,1,1,,1,ack
2018-10-05 04:22:20.261371,54,52.94.232.230,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:20.272092,54,52.94.235.50,443,1.0,57,1,1,,1,ack
2018-10-05 04:22:20.272242,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:20.276716,122,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.276872,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.293623,66,52.94.235.50,443,1.0,21,1,1,,1,ack
2018-10-05 04:22:20.316370,54,52.94.235.50,443,1.0,22,1,1,,1,ack
2018-10-05 04:22:20.334707,666,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.335273,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.335897,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.337327,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.364102,180,52.46.157.6,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:20.369920,1070,52.94.232.230,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.436218,54,52.46.157.6,443,1.0,175,1,1,,1,ack
2018-10-05 04:22:20.436379,54,52.94.232.230,443,1.0,175,1,1,,1,ack
2018-10-05 04:22:20.436459,54,52.94.232.230,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:20.439435,671,52.46.157.6,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.462656,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.462823,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-10-05 04:22:20.482685,356,52.46.157.6,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.536677,54,52.94.235.50,443,1.0,220,1,1,,1,ack
2018-10-05 04:22:20.563490,297,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.564062,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.564957,1419,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.565559,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.566200,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.576599,54,52.46.157.6,443,1.0,140,1,1,,1,ack
2018-10-05 04:22:20.583222,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.586602,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.587023,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.587122,142,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.612099,392,52.94.232.230,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.699208,352,52.94.232.230,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:20.739135,54,52.94.235.50,443,1.0,202,1,1,,1,ack
2018-10-05 04:22:20.741887,54,52.94.235.50,443,1.0,2,1,1,,1,ack
2018-10-05 04:22:21.678425,54,52.94.235.50,443,1.0,936,1,1,,1,ack
2018-10-05 04:22:21.678721,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:21.679595,54,52.94.232.230,443,1.0,1243,1,1,,1,ack
2018-10-05 04:22:22.153225,54,52.46.157.6,443,1.0,1576,1,1,,1,ack
2018-10-05 04:22:22.214572,54,52.46.157.6,443,1.0,61,1,1,,1,ack
2018-10-05 04:22:25.867123,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:25.867383,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:25.867405,1489,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:25.867422,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:25.870788,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:26.038341,54,52.94.235.50,443,1.0,4359,1,1,,1,ack
2018-10-05 04:22:26.038531,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:29.939588,74,72.21.214.79,80,1.0,-4575239025,0,1,,1,retransmit
2018-10-05 04:22:29.983829,54,72.21.214.79,80,1.0,44,1,1,,1,ack
2018-10-05 04:22:29.984347,211,72.21.214.79,80,3.0,0,1,1,,1,not_relevant
2018-10-05 04:22:30.045390,54,72.21.214.79,80,1.0,61,1,1,,1,ack
2018-10-05 04:22:33.391737,54,52.94.235.50,443,1.0,7353,1,1,,1,ack
2018-10-05 04:22:33.392642,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-10-05 04:22:37.491296,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:37.494193,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:37.495468,142,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:37.495778,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:37.496501,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:38.592082,54,52.94.235.50,443,1.0,5200,1,1,,1,ack
2018-10-05 04:22:40.502183,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.502760,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.503258,330,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.503286,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.508208,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.691653,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.692180,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.695416,330,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.695457,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.696025,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.708940,74,52.119.162.179,443,1.0,-4575231076,0,1,,1,retransmit
2018-10-05 04:22:40.758541,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.759428,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.761608,516,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.761634,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.766645,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.767803,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.768949,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.770039,866,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.770212,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.770870,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:40.803233,54,52.119.162.179,443,1.0,94,1,1,,1,ack
2018-10-05 04:22:40.806142,284,52.119.162.179,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:40.905543,54,52.119.162.179,443,1.0,102,1,1,,1,ack
2018-10-05 04:22:40.907214,54,52.119.162.179,443,1.0,1,1,1,,1,ack
2018-10-05 04:22:40.907320,54,52.119.162.179,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:40.907475,54,52.119.162.179,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:40.920247,74,52.119.162.179,443,1.0,-4575231138,0,1,,1,retransmit
2018-10-05 04:22:40.925864,66,52.119.162.179,443,1.0,18,1,1,,1,ack
2018-10-05 04:22:40.928973,54,52.94.235.50,443,1.0,2336,1,1,,1,ack
2018-10-05 04:22:40.958903,54,52.94.235.50,443,1.0,29,1,1,,1,ack
2018-10-05 04:22:40.996101,54,52.94.235.50,443,1.0,37,1,1,,1,ack
2018-10-05 04:22:41.018386,54,52.119.162.179,443,1.0,98,1,1,,1,ack
2018-10-05 04:22:41.025453,284,52.119.162.179,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:41.070785,180,52.119.162.179,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:41.122712,54,52.119.162.179,443,1.0,104,1,1,,1,ack
2018-10-05 04:22:41.122893,54,52.119.162.179,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:41.122981,54,52.119.162.179,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:41.123738,54,52.119.162.179,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:41.153330,66,52.119.162.179,443,1.0,29,1,1,,1,ack
2018-10-05 04:22:41.162610,54,52.119.162.179,443,1.0,236,1,1,,1,ack
2018-10-05 04:22:41.164340,852,52.119.162.179,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:41.228716,180,52.119.162.179,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:41.259941,54,52.119.162.179,443,1.0,97,1,1,,1,ack
2018-10-05 04:22:41.296829,74,52.119.162.179,443,1.0,-4575231001,0,1,,1,retransmit
2018-10-05 04:22:41.324217,66,52.119.162.179,443,1.0,64,1,1,,1,ack
2018-10-05 04:22:41.324487,54,52.119.162.179,443,1.0,171,1,1,,1,ack
2018-10-05 04:22:41.327083,752,52.119.162.179,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:41.389824,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:41.390033,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:41.390320,524,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:41.390336,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:41.390453,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-05 04:22:41.392002,54,52.119.162.179,443,1.0,95,1,1,,1,ack
2018-10-05 04:22:41.396720,284,52.119.162.179,443,3.0,0,1,1,22,1,handshake
2018-10-05 04:22:41.434920,54,52.119.162.179,443,1.0,110,1,1,,1,ack
2018-10-05 04:22:41.494442,54,52.119.162.179,443,1.0,102,1,1,,1,ack
2018-10-05 04:22:41.494648,54,52.119.162.179,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:41.495859,54,52.119.162.179,443,1.0,1,1,1,,1,ack
2018-10-05 04:22:41.496003,54,52.119.162.179,443,1.0,0,1,1,,1,ack
2018-10-05 04:22:41.523777,66,52.119.162.179,443,1.0,27,1,1,,1,ack
