date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-14 06:22:40.728074,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-10-14 06:22:49.859862,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.860981,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.866873,1514,52.94.235.50,443,1.0,-135228343,1,1,,1,not_relevant
2018-10-14 06:22:49.868157,1357,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.869604,192,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.876969,289,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.912254,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.913196,1514,52.94.235.50,443,1.0,46,1,1,,1,not_relevant
2018-10-14 06:22:49.915164,1366,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.945402,74,52.94.232.195,443,1.0,-135040362,0,1,,1,retransmit
2018-10-14 06:22:49.967544,1514,52.94.235.50,443,1.0,54,1,1,,1,not_relevant
2018-10-14 06:22:49.967582,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 06:22:49.967598,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 06:22:49.968845,732,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:49.985055,54,52.94.232.195,443,1.0,39,1,1,,1,ack
2018-10-14 06:22:49.986318,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-10-14 06:22:49.999981,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:50.014418,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:50.028552,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 06:22:50.032020,54,52.94.232.195,443,1.0,46,1,1,,1,ack
2018-10-14 06:22:50.032135,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-10-14 06:22:50.032280,54,52.94.232.195,443,1.0,0,1,1,,1,ack
