date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-05 20:47:42.817242,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-05 20:47:51.862870,638,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.863345,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.863960,1514,52.94.227.146,443,1.0,1953153754,1,1,,1,not_relevant
2018-11-05 20:47:51.864366,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:47:51.864427,249,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.905132,74,54.239.29.0,443,1.0,1953148841,0,1,,1,retransmit
2018-11-05 20:47:51.905715,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.906683,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.907299,1514,52.94.227.146,443,1.0,42,1,1,,1,not_relevant
2018-11-05 20:47:51.909731,1514,52.94.227.146,443,1.0,2,1,1,,1,not_relevant
2018-11-05 20:47:51.910101,879,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.951154,54,54.239.29.0,443,1.0,46,1,1,,1,ack
2018-11-05 20:47:51.954361,1514,52.94.227.146,443,1.0,44,1,1,,1,not_relevant
2018-11-05 20:47:51.954494,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:47:51.954600,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-05 20:47:51.954672,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-05 20:47:51.954771,332,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.964433,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.997367,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:51.998012,54,54.239.29.0,443,1.0,46,1,1,,1,ack
2018-11-05 20:47:51.999212,54,54.239.29.0,443,1.0,1,1,1,,1,ack
2018-11-05 20:47:51.999352,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-05 20:47:52.000084,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-05 20:47:52.012260,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.022656,66,54.239.29.0,443,1.0,22,1,1,,1,ack
2018-11-05 20:47:52.025463,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.031890,54,52.94.227.146,443,1.0,77,1,1,,1,ack
2018-11-05 20:47:52.046913,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.076998,180,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-05 20:47:52.077171,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.088744,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.109440,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.114371,54,54.239.29.0,443,1.0,91,1,1,,1,ack
2018-11-05 20:47:52.117198,768,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.123626,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.158154,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.162207,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-05 20:47:52.162417,54,54.239.29.0,443,1.0,48,1,1,,1,ack
2018-11-05 20:47:52.172497,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.186534,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.200638,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.202125,54,54.239.29.0,443,1.0,39,1,1,,1,ack
2018-11-05 20:47:52.235477,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.249654,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.270516,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.284310,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.312679,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.333478,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.349745,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.361967,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.384966,285,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.385476,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.386779,1514,52.94.227.146,443,1.0,354,1,1,,1,not_relevant
2018-11-05 20:47:52.399053,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.411259,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.429113,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.445490,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.473898,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.494280,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.508444,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.523774,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.540219,54,52.94.227.146,443,1.0,153,1,1,,1,ack
2018-11-05 20:47:52.557979,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.571342,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.586250,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.607056,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.634416,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.648503,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.670073,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.684072,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.718576,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.732468,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.746648,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.777140,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.795681,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.809336,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.830373,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.844437,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.872210,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.893425,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.907356,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.921336,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.956695,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.970688,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:52.984083,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.005302,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.033401,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.055266,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.069249,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.083755,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.116987,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.131044,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.145345,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.166404,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.194818,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.208566,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.229109,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.243505,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.278261,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.292377,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.306336,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.322110,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.355213,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.369406,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.391041,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.404470,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.434508,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.478139,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.478452,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.481380,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.516678,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.530377,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.544228,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.567915,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.593333,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.614160,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.628531,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.642381,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.678474,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.691466,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.705533,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.726696,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.755774,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.768719,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.789646,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.804011,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.838209,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.852334,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.955212,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.955555,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.955745,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.955883,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.955996,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.964243,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:53.993663,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:54.096545,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:54.096789,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:54.096935,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:54.097033,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-05 20:47:54.097134,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
