date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 02:40:41.727701,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 02:40:52.225737,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.225931,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.226236,1514,52.94.235.50,443,1.0,-3782098,1,1,,1,not_relevant
2018-11-27 02:40:52.226475,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:40:52.226503,701,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.229990,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.230380,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.285208,74,54.239.26.255,443,1.0,-3859424,0,1,,1,retransmit
2018-11-27 02:40:52.290673,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.299088,1514,52.94.235.50,443,1.0,72,1,1,,1,not_relevant
2018-11-27 02:40:52.299436,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:40:52.301041,1403,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.316613,1514,52.94.235.50,443,1.0,17,1,1,,1,not_relevant
2018-11-27 02:40:52.316653,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:40:52.316670,1472,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.354192,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.361632,54,54.239.26.255,443,1.0,76,1,1,,1,ack
2018-11-27 02:40:52.363332,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:40:52.377213,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.390953,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.411946,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.426697,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:40:52.431922,54,52.94.235.50,443,1.0,115,1,1,,1,ack
2018-11-27 02:40:52.436465,54,54.239.26.255,443,1.0,74,1,1,,1,ack
2018-11-27 02:40:52.437971,54,54.239.26.255,443,1.0,1,1,1,,1,ack
2018-11-27 02:40:52.438095,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-27 02:40:52.438191,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-27 02:40:52.460943,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
