date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 02:21:11.732580,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 02:21:16.892279,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.894328,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.894415,1514,52.94.235.50,443,1.0,3652417706,1,1,,1,not_relevant
2018-11-27 02:21:16.894465,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:21:16.894495,860,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.898964,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.899545,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.907031,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.907339,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.931250,74,54.239.29.0,443,1.0,3652665517,0,1,,1,retransmit
2018-11-27 02:21:16.958548,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.960027,1514,52.94.235.50,443,1.0,65,1,1,,1,not_relevant
2018-11-27 02:21:16.977735,1514,52.94.235.50,443,1.0,17,1,1,,1,not_relevant
2018-11-27 02:21:16.978115,937,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:16.989719,54,54.239.29.0,443,1.0,58,1,1,,1,ack
2018-11-27 02:21:16.991453,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:21:17.021408,1514,52.94.235.50,443,1.0,43,1,1,,1,not_relevant
2018-11-27 02:21:17.023017,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:21:17.023285,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:21:17.023334,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.046968,54,54.239.29.0,443,1.0,57,1,1,,1,ack
2018-11-27 02:21:17.051972,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-27 02:21:17.053883,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.067573,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.087479,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.108121,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.114164,66,52.94.235.50,443,1.0,90,1,1,,1,ack
2018-11-27 02:21:17.114793,66,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-27 02:21:17.136634,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.150309,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.150845,768,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.165556,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.178125,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.213011,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.215489,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-27 02:21:17.215580,54,54.239.29.0,443,1.0,168,1,1,,1,ack
2018-11-27 02:21:17.227247,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.248285,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.262153,184,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.266267,54,52.94.235.50,443,1.0,151,1,1,,1,ack
2018-11-27 02:21:17.277848,54,54.239.29.0,443,1.0,62,1,1,,1,ack
2018-11-27 02:21:17.297405,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.310441,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.326147,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.338975,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.374331,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.386918,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.431706,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.432102,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.432124,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.432550,1514,52.94.235.50,443,1.0,166,1,1,,1,not_relevant
2018-11-27 02:21:17.432572,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:21:17.432588,427,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.432602,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.432693,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.432803,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.456297,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.470581,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.484046,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.503950,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.532305,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.546353,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.567152,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.589372,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.617576,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.619274,54,52.94.235.50,443,1.0,186,1,1,,1,ack
2018-11-27 02:21:17.631160,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.644398,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.658233,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.694077,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.707807,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.728294,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.742355,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.770945,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.791960,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.804914,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.819438,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.853998,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.867535,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.888448,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.902404,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.931398,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.951904,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.965643,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:17.979092,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:18.014509,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:18.028145,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:18.042935,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:21:18.065870,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
