date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 02:25:41.722332,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 02:25:48.870839,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.871264,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.875152,1514,52.94.235.50,443,1.0,195794620,1,1,,1,not_relevant
2018-11-27 02:25:48.876535,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:25:48.876585,749,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.879856,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.915131,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.916638,74,54.239.29.0,443,1.0,195999701,0,1,,1,retransmit
2018-11-27 02:25:48.935947,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.941104,1514,52.94.235.50,443,1.0,64,1,1,,1,not_relevant
2018-11-27 02:25:48.941994,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:25:48.942913,1460,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.975703,1514,52.94.235.50,443,1.0,33,1,1,,1,not_relevant
2018-11-27 02:25:48.977309,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:25:48.980700,1514,52.94.235.50,443,1.0,3,1,1,,1,not_relevant
2018-11-27 02:25:48.985604,332,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:48.996524,54,54.239.29.0,443,1.0,79,1,1,,1,ack
2018-11-27 02:25:49.028606,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:25:49.038272,332,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.055711,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.069758,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.073023,54,54.239.29.0,443,1.0,76,1,1,,1,ack
2018-11-27 02:25:49.073840,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-27 02:25:49.075437,54,52.94.235.50,443,1.0,94,1,1,,1,ack
2018-11-27 02:25:49.097646,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.118954,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.133714,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.148269,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.164465,765,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.182153,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.196602,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.209553,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:25:49.219122,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-27 02:25:49.219446,54,54.239.29.0,443,1.0,146,1,1,,1,ack
2018-11-27 02:25:49.230703,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
