date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 03:35:41.709443,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 03:35:54.206246,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.207616,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.210567,1514,52.94.235.50,443,1.0,1835654769,1,1,,1,not_relevant
2018-11-27 03:35:54.210594,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:35:54.210612,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.243183,74,54.239.29.0,443,1.0,1835856969,0,1,,1,retransmit
2018-11-27 03:35:54.249270,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.255489,1514,52.94.235.50,443,1.0,44,1,1,,1,not_relevant
2018-11-27 03:35:54.257079,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 03:35:54.258590,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 03:35:54.258622,646,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.283222,54,54.239.29.0,443,1.0,40,1,1,,1,ack
2018-11-27 03:35:54.284470,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-27 03:35:54.310602,1514,52.94.235.50,443,1.0,52,1,1,,1,not_relevant
2018-11-27 03:35:54.310655,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:35:54.310686,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:35:54.310718,412,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.327500,54,54.239.29.0,443,1.0,44,1,1,,1,ack
2018-11-27 03:35:54.329495,105,54.239.29.0,443,3.0,0,1,1,20,1,handshake
2018-11-27 03:35:54.329762,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.354096,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.362714,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.376970,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.389984,54,52.94.235.50,443,1.0,79,1,1,,1,ack
2018-11-27 03:35:54.405440,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.414749,766,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.425578,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.439765,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.453485,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.464374,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-11-27 03:35:54.464540,54,54.239.29.0,443,1.0,137,1,1,,1,ack
2018-11-27 03:35:54.488480,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.502398,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.504236,54,54.239.29.0,443,1.0,39,1,1,,1,ack
2018-11-27 03:35:54.517045,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.538039,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.565494,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.586591,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.600813,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.644837,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.650327,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.663816,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.677861,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.698544,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.704377,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.704731,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.734854,1514,52.94.235.50,443,1.0,344,1,1,,1,not_relevant
2018-11-27 03:35:54.735319,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:35:54.750642,762,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.761282,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.775863,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.810335,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.824362,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.838629,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.852463,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.887713,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.901699,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.922651,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.936917,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.944766,54,52.94.235.50,443,1.0,209,1,1,,1,ack
2018-11-27 03:35:54.969864,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.988627,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:54.999891,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.013674,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.048472,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.062462,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.076936,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.098064,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.126004,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.147143,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:35:55.160777,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
