date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-11-27 02:46:51.736982,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 02:46:51.832233,54,52.94.235.50,443,1.0,-5596244,1,1,,1,ack
2018-11-27 02:46:53.514240,66,99.84.170.140,80,1.0,-5332065,1,1,,1,ack
2018-11-27 02:46:53.576553,74,99.84.170.80,80,1.0,-5334937,0,1,,1,retransmit
2018-11-27 02:46:53.601867,66,99.84.170.80,80,1.0,25,1,1,,1,ack
2018-11-27 02:46:53.603349,256,99.84.170.80,80,3.0,0,1,1,,1,not_relevant
2018-11-27 02:46:53.645720,66,99.84.170.80,80,1.0,43,1,1,,1,ack
2018-11-27 02:46:53.649668,54,52.216.21.43,80,1.0,-5335185,1,1,,1,ack
2018-11-27 02:46:53.688450,74,52.216.133.99,80,1.0,-5335203,0,1,,1,retransmit
2018-11-27 02:46:53.735263,54,52.216.133.99,80,1.0,46,1,1,,1,ack
2018-11-27 02:46:53.736709,200,52.216.133.99,80,3.0,0,1,1,,1,not_relevant
2018-11-27 02:46:53.743480,66,99.84.170.140,80,1.0,229,1,1,,1,ack
2018-11-27 02:46:53.785663,54,52.216.133.99,80,1.0,50,1,1,,1,ack
2018-11-27 02:46:53.785873,54,52.216.133.99,80,1.0,0,1,1,,1,ack
2018-11-27 02:46:53.812113,66,52.216.133.99,80,1.0,26,1,1,,1,ack
2018-11-27 02:46:53.903501,54,52.216.21.43,80,1.0,253,1,1,,1,ack
2018-11-27 02:46:53.973837,66,99.84.170.140,80,1.0,230,1,1,,1,ack
2018-11-27 02:46:54.163841,54,52.216.21.43,80,1.0,260,1,1,,1,ack
2018-11-27 02:46:54.437758,66,99.84.170.140,80,1.0,463,1,1,,1,ack
2018-11-27 02:46:54.686626,54,52.216.21.43,80,1.0,522,1,1,,1,ack
2018-11-27 02:46:55.357677,66,99.84.170.140,80,1.0,919,1,1,,1,ack
2018-11-27 02:46:55.726247,54,52.216.21.43,80,1.0,1039,1,1,,1,ack
2018-11-27 02:46:57.193914,66,99.84.170.140,80,1.0,1836,1,1,,1,ack
2018-11-27 02:46:57.806867,54,52.216.21.43,80,1.0,2080,1,1,,1,ack
2018-11-27 02:47:00.894957,66,99.84.170.140,80,1.0,3701,1,1,,1,ack
2018-11-27 02:47:01.409974,285,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.410582,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.425351,1514,52.94.235.50,443,1.0,9593,1,1,,1,not_relevant
2018-11-27 02:47:01.425379,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:47:01.425396,701,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.436401,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.437800,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.448802,74,54.239.26.255,443,1.0,-5327530,0,1,,1,retransmit
2018-11-27 02:47:01.468465,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.484699,1514,52.94.235.50,443,1.0,59,1,1,,1,not_relevant
2018-11-27 02:47:01.486152,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:47:01.486178,1239,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.502300,54,54.239.26.255,443,1.0,53,1,1,,1,ack
2018-11-27 02:47:01.503666,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:47:01.538585,1514,52.94.235.50,443,1.0,52,1,1,,1,not_relevant
2018-11-27 02:47:01.538634,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:47:01.538652,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:47:01.538691,412,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.545008,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.567619,54,54.239.26.255,443,1.0,65,1,1,,1,ack
2018-11-27 02:47:01.568752,54,54.239.26.255,443,1.0,1,1,1,,1,ack
2018-11-27 02:47:01.569290,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-27 02:47:01.569591,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-27 02:47:01.578842,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.592685,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.601472,66,54.239.26.255,443,1.0,31,1,1,,1,ack
2018-11-27 02:47:01.639319,180,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:47:01.639599,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.639701,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.639796,54,52.94.235.50,443,1.0,101,1,1,,1,ack
2018-11-27 02:47:01.639878,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-27 02:47:01.655295,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.668895,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.690430,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.698278,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.704151,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.739477,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.752914,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.761307,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 02:47:01.761517,54,54.239.26.255,443,1.0,160,1,1,,1,ack
2018-11-27 02:47:01.767494,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.781096,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.815900,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.816246,54,54.239.26.255,443,1.0,54,1,1,,1,ack
2018-11-27 02:47:01.829879,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.850947,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.865211,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.893137,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.912830,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.913824,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.915409,1514,52.94.235.50,443,1.0,275,1,1,,1,not_relevant
2018-11-27 02:47:01.915972,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:47:01.923388,642,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.928473,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.973678,54,52.216.21.43,80,1.0,4166,1,1,,1,ack
2018-11-27 02:47:01.974789,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.977241,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:01.991151,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.005004,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.025944,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.055257,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.075255,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.086766,54,52.94.235.50,443,1.0,170,1,1,,1,ack
2018-11-27 02:47:02.090332,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.103229,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.138202,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.151964,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.168358,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.187452,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.215714,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.229373,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.249875,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.263943,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.298970,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.334276,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.334440,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.341330,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.379698,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.393052,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.413378,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.426887,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.453300,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.474042,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.488214,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.502038,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.537191,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.550456,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.571470,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.586225,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.612960,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.635207,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.648177,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.662098,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.697143,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.711158,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.725324,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.746115,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.774619,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.796187,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.808672,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.822270,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.856436,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.870505,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.885847,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.905770,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.933345,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.954561,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.968211,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:02.981890,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.029524,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.123156,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.126146,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.126643,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.126753,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.126848,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.128402,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.142002,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.263434,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.263638,526,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.274998,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.289033,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.303169,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:47:03.343448,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
