date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 03:23:41.743714,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 03:23:55.546228,66,99.84.170.19,80,1.0,3486280,1,1,,1,ack
2018-11-27 03:24:00.330723,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.332055,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.334539,1514,52.94.235.50,443,1.0,3339438,1,1,,1,not_relevant
2018-11-27 03:24:00.334579,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:24:00.334612,703,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.334813,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.336524,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.370527,74,54.239.26.255,443,1.0,3487680,0,1,,1,retransmit
2018-11-27 03:24:00.380560,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.381532,1514,52.94.235.50,443,1.0,46,1,1,,1,not_relevant
2018-11-27 03:24:00.382226,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:24:00.382319,1227,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.382383,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.408850,54,54.239.26.255,443,1.0,38,1,1,,1,ack
2018-11-27 03:24:00.410241,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 03:24:00.453517,54,54.239.26.255,443,1.0,44,1,1,,1,ack
2018-11-27 03:24:00.454086,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-27 03:24:00.510669,1514,52.94.235.50,443,1.0,128,1,1,,1,not_relevant
2018-11-27 03:24:00.510718,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:24:00.510786,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 03:24:00.510848,492,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.511761,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-27 03:24:00.522368,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.536408,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.538014,766,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.571172,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.584766,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.589010,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 03:24:00.589220,54,54.239.26.255,443,1.0,135,1,1,,1,ack
2018-11-27 03:24:00.599066,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.638094,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.640415,54,54.239.26.255,443,1.0,51,1,1,,1,ack
2018-11-27 03:24:00.647486,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.661716,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.682740,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 03:24:00.696626,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
