date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 19:26:42.300843,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-26 19:26:53.315380,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.315570,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.321670,1078,52.94.229.122,443,1.0,1808920491,1,1,,1,not_relevant
2018-11-26 19:26:53.321703,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.321720,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.321735,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.321753,111,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.377276,1078,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.377609,1078,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.377931,1078,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.379262,1078,52.94.229.122,443,1.0,57,1,1,,1,not_relevant
2018-11-26 19:26:53.379291,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.379888,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.379916,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.381160,263,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.382755,74,54.239.26.255,443,1.0,1809018619,0,1,,1,retransmit
2018-11-26 19:26:53.429044,54,54.239.26.255,443,1.0,46,1,1,,1,ack
2018-11-26 19:26:53.430474,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-26 19:26:53.431911,1078,52.94.229.122,443,1.0,51,1,1,,1,not_relevant
2018-11-26 19:26:53.433782,1078,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-26 19:26:53.433821,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.433838,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.433861,812,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.444000,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.471882,54,54.239.26.255,443,1.0,42,1,1,,1,ack
2018-11-26 19:26:53.472298,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-26 19:26:53.479245,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.492898,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.506018,54,52.94.229.122,443,1.0,72,1,1,,1,ack
2018-11-26 19:26:53.510828,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.528518,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.556111,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.574914,766,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.577760,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.591059,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.605319,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.623496,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-26 19:26:53.623641,54,54.239.26.255,443,1.0,151,1,1,,1,ack
2018-11-26 19:26:53.639813,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.653747,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.663865,54,54.239.26.255,443,1.0,40,1,1,,1,ack
2018-11-26 19:26:53.668119,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.689059,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.717059,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.731008,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.751984,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.765840,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.802277,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.814757,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.829053,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.844753,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.850470,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.851104,1078,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.851144,1078,52.94.229.122,443,1.0,345,1,1,,1,not_relevant
2018-11-26 19:26:53.852187,1078,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-26 19:26:53.852224,1078,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-26 19:26:53.852252,1078,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.852283,70,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.876712,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.892620,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.915899,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.926052,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.961336,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.975017,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:53.989819,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.003064,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.010315,54,52.94.229.122,443,1.0,158,1,1,,1,ack
2018-11-26 19:26:54.038340,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.086219,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.086396,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.087139,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.114638,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.135623,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.150129,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.163950,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-26 19:26:54.199110,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
