date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 02:17:10.659295,54,52.216.16.56,80,1.0,7171231,1,1,,1,ack
2018-11-27 02:17:12.437915,54,52.94.235.50,443,1.0,7325666,1,1,,1,ack
2018-11-27 02:17:12.438144,66,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-27 02:17:12.438238,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-27 02:17:12.438334,66,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-27 02:17:15.352796,54,52.216.1.32,80,1.0,7326302,1,1,,1,ack
2018-11-27 02:17:21.422288,66,99.84.170.140,80,1.0,7332069,1,1,,1,ack
2018-11-27 02:17:24.628783,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.638170,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.772381,1514,52.94.235.50,443,1.0,12334,1,1,,1,not_relevant
2018-11-27 02:17:24.772990,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:17:24.773044,860,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.773073,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.773615,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.773957,208,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.773992,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.774252,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:17:24.778133,1514,52.94.235.50,443,1.0,3,1,1,,1,not_relevant
2018-11-27 02:17:24.779835,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.779887,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-11-27 02:17:24.779954,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-27 02:17:24.815098,74,52.94.232.195,443,1.0,7335452,0,1,,1,retransmit
2018-11-27 02:17:24.926849,1514,52.94.235.50,443,1.0,146,1,1,,1,not_relevant
2018-11-27 02:17:24.927364,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.927405,947,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.927424,54,52.94.232.195,443,1.0,112,1,1,,1,ack
2018-11-27 02:17:24.928597,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:17:24.938934,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.947863,54,52.94.235.50,443,1.0,21,1,1,,1,ack
2018-11-27 02:17:24.948197,54,52.94.235.50,443,1.0,0,1,1,,1,ack
2018-11-27 02:17:24.960870,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:24.979514,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.062878,54,52.94.232.195,443,1.0,135,1,1,,1,ack
2018-11-27 02:17:25.063092,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-27 02:17:25.066529,54,52.94.232.195,443,1.0,3,1,1,,1,ack
2018-11-27 02:17:25.066738,54,52.94.232.195,443,1.0,0,1,1,,1,ack
2018-11-27 02:17:25.067955,66,52.94.232.195,443,1.0,1,1,1,,1,ack
2018-11-27 02:17:25.076887,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.100112,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.111214,180,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-27 02:17:25.119983,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.135640,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.149122,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.152531,287,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.153926,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.156817,1514,52.94.235.50,443,1.0,208,1,1,,1,not_relevant
2018-11-27 02:17:25.160461,1514,52.94.235.50,443,1.0,3,1,1,,1,not_relevant
2018-11-27 02:17:25.160727,563,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.160758,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.160864,92,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.171527,526,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.177245,54,52.94.232.195,443,1.0,109,1,1,,1,ack
2018-11-27 02:17:25.177795,765,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.184575,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.209471,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.212215,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.232855,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.250290,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-27 02:17:25.250490,54,52.94.232.195,443,1.0,73,1,1,,1,ack
2018-11-27 02:17:25.260681,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.281648,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.295839,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.319173,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.319355,54,52.94.232.195,443,1.0,68,1,1,,1,ack
2018-11-27 02:17:25.330081,54,52.94.235.50,443,1.0,169,1,1,,1,ack
2018-11-27 02:17:25.344362,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.358951,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.379213,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.393977,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.420706,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.434836,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.455642,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.469004,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.505016,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.518735,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.533286,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.553226,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.581406,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.596391,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.619302,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.630796,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.665858,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.678838,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.693508,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.730479,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.742474,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.759139,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.777088,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.791552,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.818955,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.840459,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.853969,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.868661,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.903267,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.920290,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.930741,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.951713,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:25.978961,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.000048,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.013851,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.027680,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.064900,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.076890,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.090910,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.112065,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.139910,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.164628,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.178149,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.191664,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-27 02:17:26.224923,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
