date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-27 04:08:28.698669,74,99.84.171.79,443,1.0,13774647,0,1,,1,retransmit
2018-11-27 04:08:28.723148,66,99.84.171.79,443,1.0,24,1,1,,1,ack
2018-11-27 04:08:28.725204,288,99.84.171.79,443,3.0,0,1,1,22,1,handshake
2018-11-27 04:08:28.761845,66,99.84.171.79,443,1.0,38,1,1,,1,ack
2018-11-27 04:08:28.762299,66,99.84.171.79,443,1.0,0,1,1,,1,ack
2018-11-27 04:08:28.762502,66,99.84.171.79,443,1.0,0,1,1,,1,ack
2018-11-27 04:08:28.762649,66,99.84.171.79,443,1.0,0,1,1,,1,ack
2018-11-27 04:08:28.907773,192,99.84.171.79,443,3.0,0,1,1,22,1,handshake
2018-11-27 04:08:28.935586,66,99.84.171.79,443,1.0,172,1,1,,1,ack
2018-11-27 04:08:28.935801,66,99.84.171.79,443,1.0,0,1,1,,1,ack
2018-11-27 04:08:28.939707,119,99.84.171.79,443,3.0,0,1,1,23,1,expected
2018-11-27 04:08:29.017167,759,99.84.171.79,443,3.0,0,1,1,23,1,expected
2018-11-27 04:08:29.085009,66,99.84.171.79,443,1.0,149,1,1,,1,ack
2018-11-27 04:08:30.071213,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-27 04:08:58.487755,66,99.84.170.19,80,1.0,13800741,1,1,,1,ack
2018-11-27 04:09:00.066972,100,52.94.227.146,443,3.0,0,1,1,23,1,syn
2018-11-27 04:09:00.600550,286,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.601013,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.601056,1514,52.94.227.146,443,1.0,13616760,1,1,,1,not_relevant
2018-11-27 04:09:00.601104,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:09:00.601136,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.637331,74,54.239.26.255,443,1.0,13771218,0,1,,1,retransmit
2018-11-27 04:09:00.638778,1514,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.645186,1514,52.94.227.146,443,1.0,44,1,1,,1,not_relevant
2018-11-27 04:09:00.647237,1514,52.94.227.146,443,1.0,2,1,1,,1,not_relevant
2018-11-27 04:09:00.647561,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:09:00.647789,763,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.678191,54,54.239.26.255,443,1.0,40,1,1,,1,ack
2018-11-27 04:09:00.685189,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-27 04:09:00.723714,54,54.239.26.255,443,1.0,45,1,1,,1,ack
2018-11-27 04:09:00.724148,105,54.239.26.255,443,3.0,0,1,1,20,1,handshake
2018-11-27 04:09:00.733312,1514,52.94.227.146,443,1.0,85,1,1,,1,not_relevant
2018-11-27 04:09:00.733813,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:09:00.733835,1514,52.94.227.146,443,1.0,0,1,1,,1,not_relevant
2018-11-27 04:09:00.733852,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.775851,408,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.800338,54,52.94.227.146,443,1.0,66,1,1,,1,ack
2018-11-27 04:09:00.810657,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.823127,768,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.824522,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.845589,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.858874,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.874729,85,54.239.26.255,443,3.0,0,1,1,21,1,handshake
2018-11-27 04:09:00.874913,54,54.239.26.255,443,1.0,151,1,1,,1,ack
2018-11-27 04:09:00.886575,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.907659,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.913642,54,54.239.26.255,443,1.0,38,1,1,,1,ack
2018-11-27 04:09:00.921481,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.935354,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.969811,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:00.984824,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.004263,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.018635,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.046424,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.067466,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.081166,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.095196,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.114544,287,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.115454,190,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.119494,1514,52.94.227.146,443,1.0,319,1,1,,1,not_relevant
2018-11-27 04:09:01.152514,1514,52.94.227.146,443,1.0,33,1,1,,1,not_relevant
2018-11-27 04:09:01.152718,762,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.164358,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.178392,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.206639,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.251468,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.251616,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.255825,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.288129,54,52.94.227.146,443,1.0,135,1,1,,1,ack
2018-11-27 04:09:01.291900,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.304865,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.319256,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.340024,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.367389,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.388787,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.403355,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.417492,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.452673,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.465487,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.479579,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.500637,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.528440,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.542910,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.563857,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.577610,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.612903,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.626918,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.640543,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.654322,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.689939,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.703573,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.724406,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.738687,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.766498,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.787456,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.801696,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.815608,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.852560,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.867384,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.880812,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.899656,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.948443,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.948612,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.961982,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:01.975922,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.010781,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.024680,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.039178,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.059766,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.087321,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.108697,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.122321,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.136481,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.171585,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.185283,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.199491,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.221180,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
2018-11-27 04:09:02.248303,172,52.94.227.146,443,3.0,0,1,1,23,1,expected
