date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-25 20:07:47.899358,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-25 20:07:51.956846,295,52.94.232.230,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:52.004681,54,52.94.232.230,443,1.0,-112834138,1,1,,1,ack
2018-11-25 20:07:56.773694,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.773949,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.774490,1514,52.94.229.122,443,1.0,-112979467,1,1,,1,not_relevant
2018-11-25 20:07:56.774703,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:07:56.778435,719,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.792387,74,54.239.29.0,443,1.0,-112831796,0,1,,1,retransmit
2018-11-25 20:07:56.816644,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.859392,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.860089,1514,52.94.229.122,443,1.0,85,1,1,,1,not_relevant
2018-11-25 20:07:56.860142,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 20:07:56.860189,1469,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.861274,54,54.239.29.0,443,1.0,68,1,1,,1,ack
2018-11-25 20:07:56.861957,312,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-25 20:07:56.906099,1514,52.94.229.122,443,1.0,45,1,1,,1,not_relevant
2018-11-25 20:07:56.907360,1514,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-25 20:07:56.907404,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.907437,206,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.907796,54,54.239.29.0,443,1.0,46,1,1,,1,ack
2018-11-25 20:07:56.908790,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 20:07:56.908926,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 20:07:56.909530,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-11-25 20:07:56.940655,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.942915,66,54.239.29.0,443,1.0,33,1,1,,1,ack
2018-11-25 20:07:56.954997,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.967265,180,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-11-25 20:07:56.974398,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.982857,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 20:07:56.987473,54,52.94.229.122,443,1.0,80,1,1,,1,ack
2018-11-25 20:07:57.010638,54,54.239.29.0,443,1.0,67,1,1,,1,ack
