date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-12-02 04:41:37.928894,66,13.249.94.46,80,1.0,458642433,1,1,,1,ack
2018-12-02 04:41:48.610994,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-12-02 04:41:56.167624,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.168052,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.170787,1514,52.94.229.122,443,1.0,458892328,1,1,,1,not_relevant
2018-12-02 04:41:56.170830,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.170891,961,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.227025,74,54.239.29.0,443,1.0,458889304,0,1,,1,retransmit
2018-12-02 04:41:56.259498,54,52.94.229.122,443,1.0,88,1,1,,1,ack
2018-12-02 04:41:56.266095,54,54.239.29.0,443,1.0,39,1,1,,1,ack
2018-12-02 04:41:56.268963,280,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-12-02 04:41:56.311885,54,54.239.29.0,443,1.0,45,1,1,,1,ack
2018-12-02 04:41:56.312184,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-12-02 04:41:56.312326,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-12-02 04:41:56.312945,54,54.239.29.0,443,1.0,0,1,1,,1,ack
2018-12-02 04:41:56.349498,66,54.239.29.0,443,1.0,36,1,1,,1,ack
2018-12-02 04:41:56.401944,287,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.402351,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.404641,1514,52.94.229.122,443,1.0,145,1,1,,1,not_relevant
2018-12-02 04:41:56.405097,919,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.405140,92,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.472203,1514,52.94.229.122,443,1.0,67,1,1,,1,not_relevant
2018-12-02 04:41:56.472250,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:41:56.472318,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:41:56.472379,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-12-02 04:41:56.472507,392,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.479272,180,54.239.29.0,443,3.0,0,1,1,22,1,handshake
2018-12-02 04:41:56.483715,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.497590,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.518210,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.518918,54,54.239.29.0,443,1.0,169,1,1,,1,ack
2018-12-02 04:41:56.519681,54,52.94.229.122,443,1.0,47,1,1,,1,ack
2018-12-02 04:41:56.519832,54,52.94.229.122,443,1.0,0,1,1,,1,ack
2018-12-02 04:41:56.522768,766,54.239.29.0,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.532245,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.560573,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.567964,85,54.239.29.0,443,3.0,0,1,1,21,1,handshake
2018-12-02 04:41:56.568134,54,54.239.29.0,443,1.0,49,1,1,,1,ack
2018-12-02 04:41:56.582641,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.595313,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.606975,54,54.239.29.0,443,1.0,38,1,1,,1,ack
2018-12-02 04:41:56.609632,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.644132,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.658259,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.674170,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.693347,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.704886,286,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.705590,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.707445,1514,52.94.229.122,443,1.0,187,1,1,,1,not_relevant
2018-12-02 04:41:56.707522,583,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.707554,136,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.707944,92,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.721529,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.735354,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.756279,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.792622,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.805063,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.819193,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.827208,54,52.94.229.122,443,1.0,119,1,1,,1,ack
2018-12-02 04:41:56.834002,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.847841,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.882265,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.896371,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.919101,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.931103,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-12-02 04:41:56.959545,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
