date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-14 05:59:01.651589,288,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.652145,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.652257,1514,52.94.235.50,443,1.0,-1956084593,1,1,,1,not_relevant
2018-10-14 05:59:01.652545,1256,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.652585,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.652767,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.696339,74,54.239.26.255,443,1.0,-1955907311,0,1,,1,retransmit
2018-10-14 05:59:01.701159,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.702155,1514,52.94.235.50,443,1.0,49,1,1,,1,not_relevant
2018-10-14 05:59:01.703446,1514,52.94.235.50,443,1.0,1,1,1,,1,not_relevant
2018-10-14 05:59:01.703487,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 05:59:01.703558,340,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.749050,54,54.239.26.255,443,1.0,52,1,1,,1,ack
2018-10-14 05:59:01.750894,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-10-14 05:59:01.761400,1514,52.94.235.50,443,1.0,57,1,1,,1,not_relevant
2018-10-14 05:59:01.761478,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 05:59:01.761569,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-10-14 05:59:01.761638,412,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.799313,54,54.239.26.255,443,1.0,50,1,1,,1,ack
2018-10-14 05:59:01.799650,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-14 05:59:01.799860,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-14 05:59:01.800543,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-10-14 05:59:01.805434,290,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.808450,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.849786,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-10-14 05:59:01.849912,66,54.239.26.255,443,1.0,49,1,1,,1,ack
2018-10-14 05:59:01.857149,54,52.94.235.50,443,1.0,95,1,1,,1,ack
