date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-26 21:18:05.495299,100,52.94.235.50,443,3.0,0,1,1,23,1,syn
2018-11-26 21:18:10.047235,640,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.047680,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.056088,1514,52.94.235.50,443,1.0,-24587205,1,1,,1,not_relevant
2018-11-26 21:18:10.056566,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:18:10.056606,122,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.057364,132,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.060124,180,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.063055,136,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.086015,1514,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.087550,1514,52.94.235.50,443,1.0,30,1,1,,1,not_relevant
2018-11-26 21:18:10.095662,1514,52.94.235.50,443,1.0,8,1,1,,1,not_relevant
2018-11-26 21:18:10.096074,577,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.096113,74,52.94.232.195,443,1.0,-24589974,0,1,,1,retransmit
2018-11-26 21:18:10.138684,54,52.94.232.195,443,1.0,42,1,1,,1,ack
2018-11-26 21:18:10.140547,312,52.94.232.195,443,3.0,0,1,1,22,1,handshake
2018-11-26 21:18:10.154208,1514,52.94.235.50,443,1.0,58,1,1,,1,not_relevant
2018-11-26 21:18:10.154262,1514,52.94.235.50,443,1.0,0,1,1,,1,not_relevant
2018-11-26 21:18:10.154351,1472,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.166301,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.185250,54,52.94.232.195,443,1.0,46,1,1,,1,ack
2018-11-26 21:18:10.185624,105,52.94.232.195,443,3.0,0,1,1,20,1,handshake
2018-11-26 21:18:10.199918,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.219407,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.219645,54,52.94.235.50,443,1.0,65,1,1,,1,ack
2018-11-26 21:18:10.234726,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.248005,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.283228,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.287017,767,52.94.232.195,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.296738,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.310770,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.324680,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.334371,85,52.94.232.195,443,3.0,0,1,1,21,1,handshake
2018-11-26 21:18:10.334547,54,52.94.232.195,443,1.0,149,1,1,,1,ack
2018-11-26 21:18:10.359735,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.374061,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.376325,54,52.94.232.195,443,1.0,41,1,1,,1,ack
2018-11-26 21:18:10.394680,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.409063,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.436725,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.457678,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.472048,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.486058,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.521036,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.534870,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.548739,172,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.561411,286,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.561812,190,52.94.235.50,443,3.0,0,1,1,23,1,expected
2018-11-26 21:18:10.563867,1514,52.94.235.50,443,1.0,344,1,1,,1,not_relevant
2018-11-26 21:18:10.563911,1285,52.94.235.50,443,3.0,0,1,1,23,1,expected
