date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-11-25 19:42:47.902467,100,52.94.229.122,443,3.0,0,1,1,23,1,syn
2018-11-25 19:42:58.584134,288,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.584394,190,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.587673,1514,52.94.229.122,443,1.0,-84985405,1,1,,1,not_relevant
2018-11-25 19:42:58.587723,1152,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.587759,132,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.589204,180,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.722258,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.722301,1514,52.94.229.122,443,1.0,134,1,1,,1,not_relevant
2018-11-25 19:42:58.722333,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:42:58.722371,1514,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.722400,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:42:58.722637,1514,52.94.229.122,443,1.0,0,1,1,,1,not_relevant
2018-11-25 19:42:58.756915,74,54.239.26.255,443,1.0,-85033771,0,1,,1,retransmit
2018-11-25 19:42:58.852346,1514,52.94.229.122,443,1.0,129,1,1,,1,not_relevant
2018-11-25 19:42:58.853057,1182,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.855017,54,54.239.26.255,443,1.0,98,1,1,,1,ack
2018-11-25 19:42:58.860588,312,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-25 19:42:58.862006,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.875780,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.911222,54,54.239.26.255,443,1.0,56,1,1,,1,ack
2018-11-25 19:42:58.911469,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-25 19:42:58.911615,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.911750,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-25 19:42:58.911911,54,54.239.26.255,443,1.0,0,1,1,,1,ack
2018-11-25 19:42:58.926450,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.949207,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.954182,180,54.239.26.255,443,3.0,0,1,1,22,1,handshake
2018-11-25 19:42:58.967327,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:58.995188,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.034570,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.034734,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.036999,66,54.239.26.255,443,1.0,125,1,1,,1,ack
2018-11-25 19:42:59.037218,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.043358,54,52.94.229.122,443,1.0,191,1,1,,1,ack
2018-11-25 19:42:59.043616,54,54.239.26.255,443,1.0,6,1,1,,1,ack
2018-11-25 19:42:59.049561,765,54.239.26.255,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.064658,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.176409,54,54.239.26.255,443,1.0,132,1,1,,1,ack
2018-11-25 19:42:59.265013,85,54.239.26.255,443,1.0,88,1,1,,1,not_relevant
2018-11-25 19:42:59.306007,54,54.239.26.255,443,1.0,40,1,1,,1,ack
2018-11-25 19:42:59.398636,1234,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.449101,776,52.94.229.122,443,1.0,405,1,1,,1,not_relevant
2018-11-25 19:42:59.450537,1514,52.94.229.122,443,1.0,1,1,1,,1,not_relevant
2018-11-25 19:42:59.499606,1514,52.94.229.122,443,1.0,49,1,1,,1,not_relevant
2018-11-25 19:42:59.500039,762,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.513269,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.592879,408,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.597244,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
2018-11-25 19:42:59.631166,172,52.94.229.122,443,3.0,0,1,1,23,1,expected
